NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
11;1;1;1:56.476;0;;1:04.258;0;26.297;0;25.921;0;60.9;1:56.476;12:38:56.476;1:04.258;0:26.297;0:25.921;;Lucas DI GRASSI;0:00:43.408;;B;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;2;1:12.521;0;;25.820;0;24.235;0;22.466;0;103.3;3:08.997;12:40:08.997;0:25.820;0:24.235;0:22.466;;Lucas DI GRASSI;;;B;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;3;1:11.410;0;;25.308;0;24.097;0;22.005;0;104.9;4:20.407;12:41:20.407;0:25.308;0:24.097;0:22.005;;Lucas DI GRASSI;;;B;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;4;1:21.291;0;B;25.729;0;28.738;0;26.824;0;92.1;5:41.698;12:42:41.698;0:25.729;0:28.738;0:26.824;;Lucas DI GRASSI;;;B;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;5;3:20.551;0;;2:24.765;0;25.907;0;29.879;0;37.3;9:02.249;12:46:02.249;2:24.765;0:25.907;0:29.879;;Lucas DI GRASSI;0:02:05.887;;B;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;6;1:11.235;2;;25.235;0;24.027;0;21.973;2;105.1;10:13.484;12:47:13.484;0:25.235;0:24.027;0:21.973;;Lucas DI GRASSI;;;B;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;7;1:34.581;0;;31.167;0;30.706;0;32.708;0;79.2;11:48.065;12:48:48.065;0:31.167;0:30.706;0:32.708;;Lucas DI GRASSI;;;B;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;8;1:11.385;0;;25.218;2;23.943;2;22.224;0;104.9;12:59.450;12:49:59.450;0:25.218;0:23.943;0:22.224;;Lucas DI GRASSI;;;B;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
13;1;1;1:29.816;0;;33.632;0;27.954;0;28.230;0;79.0;1:29.816;12:38:29.816;0:33.632;0:27.954;0:28.230;;António Félix DA COSTA;0:00:11.809;;B;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;2;1:11.863;0;;25.545;0;24.234;0;22.084;0;104.2;2:41.679;12:39:41.679;0:25.545;0:24.234;0:22.084;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;3;1:11.305;0;;25.261;0;24.105;0;21.939;2;105.0;3:52.984;12:40:52.984;0:25.261;0:24.105;0:21.939;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;4;1:14.632;0;B;25.255;0;24.370;0;25.007;0;100.3;5:07.616;12:42:07.616;0:25.255;0:24.370;0:25.007;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;Porsche;;false;
13;1;5;2:53.610;0;;2:02.436;0;26.796;0;24.378;0;43.1;8:01.226;12:45:01.226;2:02.436;0:26.796;0:24.378;;António Félix DA COSTA;0:01:43.021;;B;TAG Heuer Porsche Formula E Team;Porsche;;false;
