NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:37.727;0;;33.882;0;26.693;0;37.152;0;72.6;1:37.727;17:05:52.489;0:33.882;0:26.693;0:37.152;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;2;2:33.737;0;;54.947;0;1:02.136;0;36.654;0;48.7;4:11.464;17:08:26.226;0:54.947;1:02.136;0:36.654;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;3;2:35.475;0;;43.915;0;1:04.920;0;46.640;0;48.2;6:46.939;17:11:01.701;0:43.915;1:04.920;0:46.640;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;4;1:41.696;0;;33.832;0;33.901;0;33.963;0;73.6;8:28.635;17:12:43.397;0:33.832;0:33.901;0:33.963;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;5;1:18.278;0;;28.102;0;26.114;0;24.062;0;95.7;9:46.913;17:14:01.675;0:28.102;0:26.114;0:24.062;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;6;1:25.217;0;;28.253;0;25.424;0;31.540;0;87.9;11:12.130;17:15:26.892;0:28.253;0:25.424;0:31.540;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;7;1:16.007;0;;26.386;0;25.296;0;24.325;0;98.5;12:28.137;17:16:42.899;0:26.386;0:25.296;0:24.325;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;8;1:17.782;0;;28.814;0;25.629;0;23.339;0;96.3;13:45.919;17:18:00.681;0:28.814;0:25.629;0:23.339;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;9;1:17.510;0;;28.275;0;25.667;0;23.568;0;96.6;15:03.429;17:19:18.191;0:28.275;0:25.667;0:23.568;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;10;1:16.003;0;;27.514;0;25.052;0;23.437;0;98.5;16:19.432;17:20:34.194;0:27.514;0:25.052;0:23.437;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;11;1:17.327;0;;28.890;0;25.241;0;23.196;0;96.8;17:36.759;17:21:51.521;0:28.890;0:25.241;0:23.196;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;12;1:16.745;0;;27.721;0;25.387;0;23.637;0;97.6;18:53.504;17:23:08.266;0:27.721;0:25.387;0:23.637;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;13;1:16.510;0;;27.951;0;25.229;0;23.330;0;97.9;20:10.014;17:24:24.776;0:27.951;0:25.229;0:23.330;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;14;1:17.221;0;;28.396;0;25.176;0;23.649;0;97.0;21:27.235;17:25:41.997;0:28.396;0:25.176;0:23.649;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;15;1:16.475;0;;27.471;0;25.165;0;23.839;0;97.9;22:43.710;17:26:58.472;0:27.471;0:25.165;0:23.839;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;16;1:16.386;0;;28.474;0;25.120;0;22.792;0;98.0;24:00.096;17:28:14.858;0:28.474;0:25.120;0:22.792;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;17;1:16.027;0;;26.800;0;26.233;0;22.994;0;98.5;25:16.123;17:29:30.885;0:26.800;0:26.233;0:22.994;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;18;1:15.090;0;;26.485;0;25.465;0;23.140;0;99.7;26:31.213;17:30:45.975;0:26.485;0:25.465;0:23.140;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;19;1:17.333;0;;28.080;0;26.066;0;23.187;0;96.8;27:48.546;17:32:03.308;0:28.080;0:26.066;0:23.187;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;20;1:18.731;0;;29.150;0;25.891;0;23.690;0;95.1;29:07.277;17:33:22.039;0:29.150;0:25.891;0:23.690;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;21;1:16.762;0;;28.621;0;25.028;0;23.113;0;97.5;30:24.039;17:34:38.801;0:28.621;0:25.028;0:23.113;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;22;1:16.111;0;;27.966;0;25.300;0;22.845;0;98.4;31:40.150;17:35:54.912;0:27.966;0:25.300;0:22.845;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;23;1:14.318;0;;26.406;0;25.072;0;22.840;0;100.8;32:54.468;17:37:09.230;0:26.406;0:25.072;0:22.840;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;24;1:14.636;0;;26.531;0;25.050;0;23.055;0;100.3;34:09.104;17:38:23.866;0:26.531;0:25.050;0:23.055;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;25;1:15.658;0;;27.354;0;25.278;0;23.026;0;99.0;35:24.762;17:39:39.524;0:27.354;0:25.278;0:23.026;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;26;1:15.889;0;;27.239;0;25.268;0;23.382;0;98.7;36:40.651;17:40:55.413;0:27.239;0:25.268;0:23.382;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;27;1:16.733;0;;27.988;0;25.362;0;23.383;0;97.6;37:57.384;17:42:12.146;0:27.988;0:25.362;0:23.383;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;28;1:16.420;0;;27.554;0;25.454;0;23.412;0;98.0;39:13.804;17:43:28.566;0:27.554;0:25.454;0:23.412;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;29;1:15.294;0;;26.802;0;25.064;0;23.428;0;99.5;40:29.098;17:44:43.860;0:26.802;0:25.064;0:23.428;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;30;1:15.711;0;;26.976;0;25.253;0;23.482;0;98.9;41:44.809;17:45:59.571;0:26.976;0:25.253;0:23.482;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;31;1:16.156;0;;27.419;0;25.101;0;23.636;0;98.3;43:00.965;17:47:15.727;0:27.419;0:25.101;0:23.636;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;32;1:23.963;0;;25.886;0;30.926;0;27.151;0;89.2;44:24.928;17:48:39.690;0:25.886;0:30.926;0:27.151;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;33;2:31.981;0;;41.469;0;1:20.188;0;30.324;0;49.3;46:56.909;17:51:11.671;0:41.469;1:20.188;0:30.324;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;34;1:14.781;0;;25.969;0;25.086;0;23.726;0;100.1;48:11.690;17:52:26.452;0:25.969;0:25.086;0:23.726;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;35;1:15.514;0;;25.105;3;24.779;0;25.630;0;99.2;49:27.204;17:53:41.966;0:25.105;0:24.779;0:25.630;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;36;2:15.690;0;;45.062;0;1:01.094;0;29.534;0;55.2;51:42.894;17:55:57.656;0:45.062;1:01.094;0:29.534;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;37;1:14.330;0;;26.635;0;24.987;0;22.708;2;100.7;52:57.224;17:57:11.986;0:26.635;0:24.987;0:22.708;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;38;1:14.240;2;;26.699;0;24.696;2;22.845;0;100.9;54:11.464;17:58:26.226;0:26.699;0:24.696;0:22.845;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
1;1;39;1:17.385;0;;28.061;0;25.906;0;23.418;0;96.8;55:28.849;17:59:43.611;0:28.061;0:25.906;0:23.418;;Jake DENNIS;;;;Andretti Formula E;Porsche;;false;
11;1;1;1:48.649;0;;37.061;0;29.177;0;42.411;0;65.3;1:48.649;17:06:03.411;0:37.061;0:29.177;0:42.411;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;2;2:34.556;0;;53.243;0;1:08.262;0;33.051;0;48.4;4:23.205;17:08:37.967;0:53.243;1:08.262;0:33.051;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;3;2:37.209;0;;41.902;0;1:08.521;0;46.786;0;47.6;7:00.414;17:11:15.176;0:41.902;1:08.521;0:46.786;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;4;1:32.565;0;;36.004;0;26.044;0;30.517;0;80.9;8:32.979;17:12:47.741;0:36.004;0:26.044;0:30.517;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;5;1:17.242;0;;27.831;0;25.643;0;23.768;0;96.9;9:50.221;17:14:04.983;0:27.831;0:25.643;0:23.768;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;6;1:20.170;0;;28.650;0;25.203;0;26.317;0;93.4;11:10.391;17:15:25.153;0:28.650;0:25.203;0:26.317;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;7;1:16.435;0;;26.508;0;25.385;0;24.542;0;98.0;12:26.826;17:16:41.588;0:26.508;0:25.385;0:24.542;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
11;1;8;1:17.884;0;;28.872;0;25.344;0;23.668;0;96.1;13:44.710;17:17:59.472;0:28.872;0:25.344;0:23.668;;Lucas DI GRASSI;;;;ABT CUPRA FORMULA E TEAM;Mahindra Racing;;false;
