TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1721491504;20/07/2024 16:05:04;24,22;30;63,84;1005,46;0,79;279;-999;
1721491564;20/07/2024 16:06:04;24,28;29,9;63,75;1005,46;0,37;243;-999;
1721491624;20/07/2024 16:07:04;24,21;29,9;64;1005,43;0,35;65;-999;
1721491684;20/07/2024 16:08:04;24,16;29,8;64,23;1005,43;0,75;308;-999;
1721491744;20/07/2024 16:09:04;24,16;29,9;64,68;1005,41;0,58;316;-999;
1721491804;20/07/2024 16:10:04;24,21;29,8;64,56;1005,39;0,25;291;-999;
1721491864;20/07/2024 16:11:04;24,25;29,8;64,2;1005,39;0,42;224;-999;
1721491924;20/07/2024 16:12:04;24,19;29,8;64,09;1005,37;0,91;297;-999;
1721491984;20/07/2024 16:13:04;24,24;29,8;64,61;1005,36;0,33;304;-999;
1721492044;20/07/2024 16:14:04;24,31;29,7;64,7;1005,36;0,65;336;-999;
1721492104;20/07/2024 16:15:04;24,35;29,8;63,5;1005,37;0,64;344;-999;
1721492164;20/07/2024 16:16:04;24,31;29,6;64,12;1005,36;0,42;326;-999;
1721492224;20/07/2024 16:17:04;24,36;29,5;63,43;1005,27;1,68;341;-999;
1721492284;20/07/2024 16:18:04;24,29;29,5;63,57;1005,33;0,38;297;-999;
1721492344;20/07/2024 16:19:04;24,36;29,4;62,95;1005,33;0,71;324;-999;
1721492404;20/07/2024 16:20:04;24,38;29,4;63,15;1005,32;1,01;312;-999;
1721492464;20/07/2024 16:21:04;24,42;29,4;63,01;1005,31;0,53;222;-999;
1721492524;20/07/2024 16:22:04;24,51;29,3;63;1005,29;0,32;326;-999;
1721492584;20/07/2024 16:23:04;24,59;29,3;62,75;1005,29;0,43;343;-999;
1721492644;20/07/2024 16:24:04;24,77;29,2;62,14;1005,31;0,7;290;-999;
1721492704;20/07/2024 16:25:04;24,86;29,1;61,7;1005,33;1,12;282;-999;
1721492764;20/07/2024 16:26:04;24,89;29;61,47;1005,34;1,45;277;-999;
1721492824;20/07/2024 16:27:04;24,79;28,9;61,55;1005,31;1,07;316;-999;
1721492884;20/07/2024 16:28:04;24,73;28,9;61,75;1005,3;0,74;342;-999;
1721492944;20/07/2024 16:29:04;24,73;28,8;61,89;1005,28;1,86;301;-999;
1721493004;20/07/2024 16:30:04;24,81;28,8;62,01;1005,3;0;0;-999;
1721493065;20/07/2024 16:31:05;24,9;28,8;61,35;1005,3;1,73;292;-999;
1721493125;20/07/2024 16:32:05;25,01;28,8;61,17;1005,3;0,42;18;-999;
1721493185;20/07/2024 16:33:05;25,1;28,8;60,89;1005,29;0,69;260;-999;
1721493245;20/07/2024 16:34:05;25,19;28,8;60,41;1005,26;0,39;4;-999;
1721493305;20/07/2024 16:35:05;25,22;28,8;60,67;1005,26;0,79;270;-999;
1721493365;20/07/2024 16:36:05;25,36;28,8;60,29;1005,27;0,51;309;-999;
1721493425;20/07/2024 16:37:05;25,35;28,8;59,83;1005,23;0,72;295;-999;
1721493485;20/07/2024 16:38:05;25,36;28,8;60,52;1005,26;1,33;296;-999;
1721493545;20/07/2024 16:39:05;25,34;28,7;60,39;1005,24;1,91;269;-999;
1721493605;20/07/2024 16:40:05;25,28;28,6;60,41;1005,27;0,25;320;-999;
1721493665;20/07/2024 16:41:05;25,35;28,5;60,4;1005,24;0,32;311;-999;
1721493725;20/07/2024 16:42:05;25,38;28,5;59,56;1005,2;1,23;321;-999;
1721493785;20/07/2024 16:43:05;25,28;28,4;60,02;1005,18;0,83;325;-999;
1721493845;20/07/2024 16:44:05;25,17;28,4;60,19;1005,19;0,37;328;-999;
1721493905;20/07/2024 16:45:05;25,04;28,4;60,87;1005,22;0,77;271;-999;
1721493965;20/07/2024 16:46:05;25,18;28,4;60,31;1005,17;0,76;270;-999;
1721494025;20/07/2024 16:47:05;25,15;28,3;60,71;1005,18;1,03;256;-999;
1721494085;20/07/2024 16:48:05;25,21;28,3;60,35;1005,13;1,32;267;-999;
1721494145;20/07/2024 16:49:05;25,27;28,4;60,53;1005,1;0,68;4;-999;
1721494205;20/07/2024 16:50:05;25,31;28,4;60,21;1005,08;0,82;279;-999;
1721494265;20/07/2024 16:51:05;25,31;28,4;60,42;1005,05;1,11;301;-999;
1721494325;20/07/2024 16:52:05;25,36;28,4;60,06;1005,06;0,25;312;-999;
1721494385;20/07/2024 16:53:05;25,48;28,3;60,42;1005,04;0,5;285;-999;
1721494445;20/07/2024 16:54:05;25,56;28,3;59,35;1005,01;1,53;297;-999;
1721494505;20/07/2024 16:55:05;25,46;28,3;59,6;1005,01;1,79;321;-999;
1721494566;20/07/2024 16:56:06;25,31;28,3;60,11;1005,01;1,27;299;-999;
1721494626;20/07/2024 16:57:06;25,28;28,2;60,09;1004,97;1,25;282;-999;
1721494686;20/07/2024 16:58:06;25,24;28,2;59,59;1004,95;1,56;293;-999;
1721494746;20/07/2024 16:59:06;25,14;28,1;60,51;1004,95;1,33;297;-999;
