POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;37;6;1:10.323;-;-;106.5;8;Jaguar TCS Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;3;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
2;94;9;1:10.468;+0.145;+0.145;106.3;9;TAG Heuer Porsche Formula E Team;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;1;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
3;8;8;1:10.651;+0.328;+0.183;106.0;8;NEOM McLaren Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;11;Sam;BIRD;;GBR;GBR;BIR;;;;;;
4;4;9;1:10.655;+0.332;+0.004;106.0;9;Envision Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;9;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
5;22;8;1:10.681;+0.358;+0.026;105.9;8;Nissan Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;5;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
6;18;8;1:10.759;+0.436;+0.078;105.8;8;Maserati MSG Racing;;A;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;21;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
7;33;8;1:10.790;+0.467;+0.031;105.8;8;ERT Formula E Team;;A;;ERT X24;HANKOOK;;;;;;;;;;19;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
8;5;6;1:10.797;+0.474;+0.007;105.8;8;NEOM McLaren Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;13;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
9;16;6;1:10.800;+0.477;+0.003;105.8;8;Envision Racing;;A;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;15;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
10;23;8;1:10.922;+0.599;+0.122;105.6;8;Nissan Formula E Team;;A;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;17;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
11;1;7;1:11.009;+0.686;+0.087;105.5;7;Andretti Formula E;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;7;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
