POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;22;Classified;37;54:30.572;-;-;33;1:11.608;104.6;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;5;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
2;94;Classified;37;54:31.627;+1.055;+1.055;34;1:11.337;105.0;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;1;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
3;9;Classified;37;54:34.354;+3.782;+2.727;32;1:11.887;104.2;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;2;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
4;16;Classified;37;54:34.576;+4.004;+0.222;33;1:11.935;104.1;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;15;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
5;25;Classified;37;54:35.377;+4.805;+0.801;33;1:12.121;103.8;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;6;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
6;51;Classified;37;54:35.774;+5.202;+0.397;33;1:12.088;103.9;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;14;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
7;4;Classified;37;54:36.154;+5.582;+0.380;33;1:12.087;103.9;Envision Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;9;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
8;2;Classified;37;54:36.676;+6.104;+0.522;35;1:11.861;104.2;DS PENSKE;;;;DS E-TENSE FE23;HANKOOK;;;;;;;;;;10;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
9;11;Classified;37;54:37.239;+6.667;+0.563;35;1:11.971;104.0;ABT CUPRA FORMULA E TEAM;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;24;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
10;5;Classified;37;54:37.679;+7.107;+0.440;34;1:11.331;105.0;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;13;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
11;3;Classified;37;54:38.151;+7.579;+0.472;34;1:11.886;104.2;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;20;Sérgio;SETTE CÂMARA;;BRA;BRA;SET;;;;;;
12;17;Classified;37;54:38.648;+8.076;+0.497;36;1:11.949;104.1;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;12;Norman;NATO;;FRA;FRA;NAT;;;;;;
13;13;Classified;37;54:39.934;+9.362;+1.286;32;1:12.049;103.9;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;4;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
14;33;Classified;37;54:40.050;+9.478;+0.116;35;1:12.058;103.9;ERT Formula E Team;;;;ERT X24;HANKOOK;;;;;;;;;;19;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
15;23;Classified;37;54:49.757;+19.185;+9.707;35;1:12.202;103.7;Nissan Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;17;Sacha;FENESTRAZ;;FRA;FRA;FEN;;;;;;
16;21;Classified;37;55:14.052;+43.480;+24.295;36;1:11.927;104.1;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;18;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
;37;Not classified;33;50:15.324;;;14;1:12.120;103.8;Jaguar TCS Racing;;;;Jaguar I-TYPE 6;HANKOOK;;;;;;;;;;3;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
;7;Not classified;28;41:54.893;;;14;1:12.139;103.8;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;8;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
;18;Not classified;8;15:02.998;;;6;1:16.338;98.1;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;21;Jehan;DARUVALA;;IND;IND;DAR;;;;;;
;8;Not classified;6;11:01.280;;;6;1:16.704;97.6;NEOM McLaren Formula E Team;;;;Nissan e-4ORCE 04;HANKOOK;;;;;;;;;;11;Sam;BIRD;;GBR;GBR;BIR;;;;;;
;48;Not classified;1;1:27.487;;;0;;;MAHINDRA RACING;;;;Mahindra M10Electro;HANKOOK;;;;;;;;;;16;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
;1;Not classified;1;1:32.311;;;0;;;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;7;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
