NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:54.360;0;;56.520;0;30.181;0;27.659;0;62.0;1:54.360;12:21:54.360;0:56.520;0:30.181;0:27.659;;Jake DENNIS;0:00:33.331;;A;Andretti Formula E;Porsche;;false;
1;1;2;1:11.571;0;;25.153;0;24.288;0;22.130;0;104.6;3:05.931;12:23:05.931;0:25.153;0:24.288;0:22.130;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;3;1:24.519;0;B;25.141;0;30.735;0;28.643;0;88.6;4:30.450;12:24:30.450;0:25.141;0:30.735;0:28.643;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;4;4:01.650;0;;3:08.476;0;27.780;0;25.394;0;31.0;8:32.100;12:28:32.100;3:08.476;0:27.780;0:25.394;;Jake DENNIS;0:02:48.880;;A;Andretti Formula E;Porsche;;false;
1;1;5;1:11.302;0;;25.125;0;24.090;0;22.087;0;105.0;9:43.402;12:29:43.402;0:25.125;0:24.090;0:22.087;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;6;1:31.119;0;;31.325;0;30.639;0;29.155;0;82.2;11:14.521;12:31:14.521;0:31.325;0:30.639;0:29.155;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
1;1;7;1:11.009;2;;24.968;2;24.050;2;21.991;2;105.5;12:25.530;12:32:25.530;0:24.968;0:24.050;0:21.991;;Jake DENNIS;;;A;Andretti Formula E;Porsche;;false;
16;1;1;1:23.225;0;;29.264;0;27.863;0;26.098;0;85.2;1:23.225;12:21:23.225;0:29.264;0:27.863;0:26.098;;Sébastien BUEMI;0:00:07.557;;A;Envision Racing;Jaguar;;false;
16;1;2;1:11.483;0;;25.239;0;24.246;0;21.998;0;104.8;2:34.708;12:22:34.708;0:25.239;0:24.246;0:21.998;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
16;1;3;1:15.058;0;B;25.183;0;24.444;0;25.431;0;99.8;3:49.766;12:23:49.766;0:25.183;0:24.444;0:25.431;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
16;1;4;2:58.509;0;;2:07.987;0;27.142;0;23.380;0;41.9;6:48.275;12:26:48.275;2:07.987;0:27.142;0:23.380;;Sébastien BUEMI;0:01:47.729;;A;Envision Racing;Jaguar;;false;
16;1;5;1:18.290;0;;26.762;0;25.256;0;26.272;0;95.6;8:06.565;12:28:06.565;0:26.762;0:25.256;0:26.272;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
16;1;6;1:10.800;2;;24.946;2;23.928;2;21.926;2;105.8;9:17.365;12:29:17.365;0:24.946;0:23.928;0:21.926;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
16;1;7;1:33.763;0;;33.146;0;33.320;0;27.297;0;79.9;10:51.128;12:30:51.128;0:33.146;0:33.320;0:27.297;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
16;1;8;1:11.016;0;;24.976;0;24.068;0;21.972;0;105.4;12:02.144;12:32:02.144;0:24.976;0:24.068;0:21.972;;Sébastien BUEMI;;;A;Envision Racing;Jaguar;;false;
18;1;1;1:35.594;0;;39.597;0;27.484;0;28.513;0;74.2;1:35.594;12:21:35.594;0:39.597;0:27.484;0:28.513;;Jehan DARUVALA;0:00:17.327;;A;Maserati MSG Racing;STELLANTIS;;false;
18;1;2;1:11.667;0;;25.361;0;24.287;0;22.019;0;104.5;2:47.261;12:22:47.261;0:25.361;0:24.287;0:22.019;;Jehan DARUVALA;;;A;Maserati MSG Racing;STELLANTIS;;false;
18;1;3;1:16.539;0;B;25.299;0;24.089;0;27.151;0;97.8;4:03.800;12:24:03.800;0:25.299;0:24.089;0:27.151;;Jehan DARUVALA;;;A;Maserati MSG Racing;STELLANTIS;;false;
