POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;27;4;1:11.732;-;-;147.2;7;Andretti Formula E;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
2;13;7;1:11.891;+0.159;+0.159;146.9;8;TAG Heuer Porsche Formula E Team;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
3;23;5;1:11.899;+0.167;+0.008;146.9;8;Nissan Formula E Team;;A;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
4;25;5;1:11.952;+0.220;+0.053;146.7;6;DS PENSKE;;A;;DS E-TENSE FE25;HANKOOK;;;;;;;;;;;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
5;37;5;1:12.055;+0.323;+0.103;146.5;8;Jaguar TCS Racing;;A;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
6;16;6;1:12.068;+0.336;+0.013;146.5;8;Envision Racing;;A;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
7;11;6;1:12.100;+0.368;+0.032;146.4;8;LOLA YAMAHA ABT Formula E Team;;A;;Lola T001;HANKOOK;;;;;;;;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
8;8;6;1:12.113;+0.381;+0.013;146.4;8;NEOM McLaren Formula E Team;;A;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;;Sam;BIRD;;GBR;GBR;BIR;;;;;;
9;55;3;1:12.154;+0.422;+0.041;146.3;7;Maserati MSG Racing;;A;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
10;3;6;1:12.310;+0.578;+0.156;146.0;8;Cupra Kiro;;A;;Porsche 99X Electric WCG3;HANKOOK;;;;;;;;;;;David;BECKMANN;;DEU;DEU;BEC;;;;;;
11;21;6;1:12.317;+0.585;+0.007;146.0;8;MAHINDRA RACING;;A;;M11Electro;HANKOOK;;;;;;;;;;;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
