POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;1;6;1:11.717;-;-;147.2;8;TAG Heuer Porsche Formula E Team;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
2;48;5;1:11.933;+0.216;+0.216;146.8;7;MAHINDRA RACING;;B;;M11Electro;HANKOOK;;;;;;;;;;;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
3;7;7;1:11.953;+0.236;+0.020;146.7;7;DS PENSKE;;B;;DS E-TENSE FE25;HANKOOK;;;;;;;;;;;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
4;17;8;1:11.972;+0.255;+0.019;146.7;8;Nissan Formula E Team;;B;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;;Norman;NATO;;FRA;FRA;NAT;;;;;;
5;2;6;1:12.046;+0.329;+0.074;146.6;8;Maserati MSG Racing;;B;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
6;33;8;1:12.047;+0.330;+0.001;146.6;8;Cupra Kiro;;B;;Porsche 99X Electric WCG3;HANKOOK;;;;;;;;;;;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
7;4;7;1:12.161;+0.444;+0.114;146.3;9;Envision Racing;;B;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
8;51;6;1:12.176;+0.459;+0.015;146.3;7;Andretti Formula E;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
9;5;3;1:12.423;+0.706;+0.247;145.8;8;NEOM McLaren Formula E Team;;B;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;;Taylor;BARNARD;;GBR;GBR;BAR;;;;;;
10;22;6;1:12.550;+0.833;+0.127;145.5;8;LOLA YAMAHA ABT Formula E Team;;B;;Lola T001;HANKOOK;;;;;;;;;;;Zane;MALONEY;;BRB;BRB;MAL;;;;;;
;9;0;;;;;1;Jaguar TCS Racing;;B;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
