POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;9;Classified;35;1:45:14.758;-;-;10;1:13.295;144.1;Jaguar TCS Racing;;;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
2;13;Classified;35;1:45:15.142;+0.384;+0.384;18;1:13.261;144.1;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;;António Félix;DA COSTA;;PRT;PRT;DAC;;;;;;
3;5;Classified;35;1:45:15.602;+0.844;+0.460;25;1:13.499;143.7;NEOM McLaren Formula E Team;;;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;;Taylor;BARNARD;;GBR;GBR;BAR;;;;;;
4;8;Classified;35;1:45:15.916;+1.158;+0.314;25;1:13.423;143.8;NEOM McLaren Formula E Team;;;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;;Sam;BIRD;;GBR;GBR;BIR;;;;;;
5;48;Classified;35;1:45:16.558;+1.800;+0.642;16;1:14.063;142.6;MAHINDRA RACING;;;;M11Electro;HANKOOK;;;;;;;;;;;Edoardo;MORTARA;;CHE;CHE;MOR;;;;;;
6;21;Classified;35;1:45:17.398;+2.640;+0.840;15;1:13.783;143.1;MAHINDRA RACING;;;;M11Electro;HANKOOK;;;;;;;;;;;Nyck;DE VRIES;;NLD;NLD;DEV;;;;;;
7;16;Classified;35;1:45:17.755;+2.997;+0.357;33;1:13.876;142.9;Envision Racing;;;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;;Sébastien;BUEMI;;CHE;CHE;BUE;;;;;;
8;33;Classified;35;1:45:18.441;+3.683;+0.686;9;1:13.622;143.4;Cupra Kiro;;;;Porsche 99X Electric WCG3;HANKOOK;;;;;;;;;;;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
9;25;Classified;35;1:45:18.974;+4.216;+0.533;12;1:13.886;142.9;DS PENSKE;;;;DS E-TENSE FE25;HANKOOK;;;;;;;;;;;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
10;2;Classified;35;1:45:19.537;+4.779;+0.563;19;1:14.108;142.5;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
11;7;Classified;35;1:45:19.851;+5.093;+0.314;18;1:13.349;144.0;DS PENSKE;;;;DS E-TENSE FE25;HANKOOK;;;;;;;;;;;Maximilian;GÜNTHER;;DEU;DEU;GUE;;;;;;
12;22;Classified;35;1:45:20.970;+6.212;+1.119;12;1:13.195;144.3;LOLA YAMAHA ABT Formula E Team;;;;Lola T001;HANKOOK;;;;;;;;;;;Zane;MALONEY;;BRB;BRB;MAL;;;;;;
13;17;Classified;35;1:45:21.932;+7.174;+0.962;26;1:12.890;144.9;Nissan Formula E Team;;;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;;Norman;NATO;;FRA;FRA;NAT;;;;;;
14;23;Classified;35;1:45:26.143;+11.385;+4.211;26;1:13.653;143.4;Nissan Formula E Team;;;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
;37;Not classified;34;1:44:10.885;;;26;1:13.227;144.2;Jaguar TCS Racing;;;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
;1;Not classified;29;1:12:51.242;;;18;1:13.498;143.7;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;;Pascal;WEHRLEIN;;DEU;DEU;WEH;;;;;;
;3;Not classified;29;1:45:27.920;;;29;1:12.219;146.2;Cupra Kiro;;;;Porsche 99X Electric WCG3;HANKOOK;;;;;;;;;;;David;BECKMANN;;DEU;DEU;BEC;;;;;;
;27;Not classified;19;31:27.225;;;10;1:14.147;142.4;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
;11;Not classified;5;13:42.902;;;1;1:18.540;134.4;LOLA YAMAHA ABT Formula E Team;;;;Lola T001;HANKOOK;;;;;;;;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
;55;Not classified;1;2:43.015;;;1;1:18.457;134.6;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
;51;Not classified;1;2:44.479;;;1;1:19.508;132.8;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;;Nico;MÜLLER;;CHE;CHE;MUE;;;;;;
;4;Not started;0;;;;0;;;Envision Racing;;;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;;Robin;FRIJNS;;NLD;NLD;FRI;;;;;;
