NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
11;1;1;1:33.170;0;;35.283;0;32.299;0;25.588;0;102.1;1:33.170;09:41:33.170;0:35.283;0:32.299;0:25.588;;Lucas DI GRASSI;0:00:05.389;;A;LOLA YAMAHA ABT Formula E Team;LOLA;;false;
11;1;2;1:13.820;0;;23.589;0;28.830;0;21.401;0;143.0;2:46.990;09:42:46.990;0:23.589;0:28.830;0:21.401;;Lucas DI GRASSI;;;A;LOLA YAMAHA ABT Formula E Team;LOLA;;false;
11;1;3;2:50.647;0;B;23.948;0;28.591;0;1:58.108;0;61.9;5:37.637;09:45:37.637;0:23.948;0:28.591;1:58.108;;Lucas DI GRASSI;;;A;LOLA YAMAHA ABT Formula E Team;LOLA;;false;
11;1;4;1:20.646;0;;28.972;0;29.225;0;22.449;0;130.9;6:58.283;09:46:58.283;0:28.972;0:29.225;0:22.449;;Lucas DI GRASSI;0:01:41.455;;A;LOLA YAMAHA ABT Formula E Team;LOLA;;false;
11;1;5;1:15.659;0;;23.471;0;28.374;0;23.814;0;139.6;8:13.942;09:48:13.942;0:23.471;0:28.374;0:23.814;;Lucas DI GRASSI;;;A;LOLA YAMAHA ABT Formula E Team;LOLA;;false;
11;1;6;1:12.100;2;;23.109;2;27.728;2;21.263;2;146.4;9:26.042;09:49:26.042;0:23.109;0:27.728;0:21.263;;Lucas DI GRASSI;;;A;LOLA YAMAHA ABT Formula E Team;LOLA;;false;
11;1;7;1:52.412;0;;32.124;0;49.195;0;31.093;0;93.9;11:18.454;09:51:18.454;0:32.124;0:49.195;0:31.093;;Lucas DI GRASSI;;;A;LOLA YAMAHA ABT Formula E Team;LOLA;;false;
11;1;8;1:12.350;0;;23.129;0;27.843;0;21.378;0;145.9;12:30.804;09:52:30.804;0:23.129;0:27.843;0:21.378;;Lucas DI GRASSI;;;A;LOLA YAMAHA ABT Formula E Team;LOLA;;false;
13;1;1;1:57.179;0;;55.088;0;36.577;0;25.514;0;81.2;1:57.179;09:41:57.179;0:55.088;0:36.577;0:25.514;;António Félix DA COSTA;0:00:22.238;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
13;1;2;1:24.544;0;;27.293;0;33.807;0;23.444;0;124.9;3:21.723;09:43:21.723;0:27.293;0:33.807;0:23.444;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
