NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;2:00.449;0;;1:02.002;0;33.892;0;24.555;0;79.0;2:00.449;09:59:00.449;1:02.002;0:33.892;0:24.555;;Pascal WEHRLEIN;0:00:29.917;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;2;1:23.369;0;;28.585;0;31.781;0;23.003;0;126.7;3:23.818;10:00:23.818;0:28.585;0:31.781;0:23.003;;Pascal WEHRLEIN;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;3;1:22.235;0;;28.069;0;31.649;0;22.517;0;128.4;4:46.053;10:01:46.053;0:28.069;0:31.649;0:22.517;;Pascal WEHRLEIN;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;4;8:48.919;0;B;57.062;0;46.381;0;7:05.476;0;20.0;13:34.972;10:10:34.972;0:57.062;0:46.381;7:05.476;;Pascal WEHRLEIN;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;5;1:22.646;0;;30.484;0;29.968;0;22.194;0;127.8;14:57.618;10:11:57.618;0:30.484;0:29.968;0:22.194;;Pascal WEHRLEIN;0:06:39.811;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;6;1:11.717;3;;23.036;0;27.577;3;21.104;2;147.2;16:09.335;10:13:09.335;0:23.036;0:27.577;0:21.104;;Pascal WEHRLEIN;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;7;1:31.285;0;;28.837;0;39.321;0;23.127;0;115.7;17:40.620;10:14:40.620;0:28.837;0:39.321;0:23.127;;Pascal WEHRLEIN;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;8;1:11.827;0;;22.947;2;27.628;0;21.252;0;147.0;18:52.447;10:15:52.447;0:22.947;0:27.628;0:21.252;;Pascal WEHRLEIN;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
17;1;1;2:24.153;0;;1:26.232;0;33.418;0;24.503;0;66.0;2:24.153;09:59:24.153;1:26.232;0:33.418;0:24.503;;Norman NATO;0:00:53.678;;B;Nissan Formula E Team;NISSAN;;false;
17;1;2;1:21.596;0;;26.527;0;31.957;0;23.112;0;129.4;3:45.749;10:00:45.749;0:26.527;0:31.957;0:23.112;;Norman NATO;;;B;Nissan Formula E Team;NISSAN;;false;
17;1;3;9:20.597;0;B;25.839;0;31.666;0;8:23.092;0;18.8;13:06.346;10:10:06.346;0:25.839;0:31.666;8:23.092;;Norman NATO;;;B;Nissan Formula E Team;NISSAN;;false;
17;1;4;1:29.777;0;;31.640;0;33.594;0;24.543;0;117.6;14:36.123;10:11:36.123;0:31.640;0:33.594;0:24.543;;Norman NATO;0:07:43.959;;B;Nissan Formula E Team;NISSAN;;false;
17;1;5;1:26.559;0;;27.671;0;36.222;0;22.666;0;122.0;16:02.682;10:13:02.682;0:27.671;0:36.222;0:22.666;;Norman NATO;;;B;Nissan Formula E Team;NISSAN;;false;
17;1;6;1:12.154;0;;23.044;0;27.973;0;21.137;2;146.3;17:14.836;10:14:14.836;0:23.044;0:27.973;0:21.137;;Norman NATO;;;B;Nissan Formula E Team;NISSAN;;false;
17;1;7;1:36.128;0;;31.109;0;40.485;0;24.534;0;109.8;18:50.964;10:15:50.964;0:31.109;0:40.485;0:24.534;;Norman NATO;;;B;Nissan Formula E Team;NISSAN;;false;
17;1;8;1:11.972;2;;23.020;2;27.749;2;21.203;0;146.7;20:02.936;10:17:02.936;0:23.020;0:27.749;0:21.203;;Norman NATO;;;B;Nissan Formula E Team;NISSAN;;false;
2;1;1;1:37.882;0;;39.605;0;33.780;0;24.497;0;97.2;1:37.882;09:58:37.882;0:39.605;0:33.780;0:24.497;;Stoffel VANDOORNE;0:00:06.980;;B;Maserati MSG Racing;STELLANTIS;;false;
2;1;2;1:23.059;0;;25.770;0;32.173;0;25.116;0;127.1;3:00.941;10:00:00.941;0:25.770;0:32.173;0:25.116;;Stoffel VANDOORNE;;;B;Maserati MSG Racing;STELLANTIS;;false;
2;1;3;11:04.727;0;B;25.434;0;29.750;0;10:09.543;0;15.9;14:05.668;10:11:05.668;0:25.434;0:29.750;10:09.543;;Stoffel VANDOORNE;;;B;Maserati MSG Racing;STELLANTIS;;false;
2;1;4;1:27.095;0;;32.670;0;31.560;0;22.865;0;121.2;15:32.763;10:12:32.763;0:32.670;0:31.560;0:22.865;;Stoffel VANDOORNE;0:09:52.628;;B;Maserati MSG Racing;STELLANTIS;;false;
2;1;5;1:17.737;0;;24.270;0;29.320;0;24.147;0;135.8;16:50.500;10:13:50.500;0:24.270;0:29.320;0:24.147;;Stoffel VANDOORNE;;;B;Maserati MSG Racing;STELLANTIS;;false;
2;1;6;1:12.046;2;;22.928;3;27.923;0;21.195;2;146.6;18:02.546;10:15:02.546;0:22.928;0:27.923;0:21.195;;Stoffel VANDOORNE;;;B;Maserati MSG Racing;STELLANTIS;;false;
2;1;7;1:41.794;0;;28.127;0;38.213;0;35.454;0;103.7;19:44.340;10:16:44.340;0:28.127;0:38.213;0:35.454;;Stoffel VANDOORNE;;;B;Maserati MSG Racing;STELLANTIS;;false;
2;1;8;1:12.148;0;;23.085;0;27.660;2;21.403;0;146.3;20:56.488;10:17:56.488;0:23.085;0:27.660;0:21.403;;Stoffel VANDOORNE;;;B;Maserati MSG Racing;STELLANTIS;;false;
22;1;1;1:25.896;0;;34.217;0;29.479;0;22.200;0;110.7;1:25.896;09:58:25.896;0:34.217;0:29.479;0:22.200;;Zane MALONEY;0:00:05.472;;B;LOLA YAMAHA ABT Formula E Team;LOLA;;false;
22;1;2;1:13.138;0;;23.500;0;28.146;0;21.492;0;144.4;2:39.034;09:59:39.034;0:23.500;0:28.146;0:21.492;;Zane MALONEY;;;B;LOLA YAMAHA ABT Formula E Team;LOLA;;false;
22;1;3;10:53.124;0;B;23.484;0;28.256;0;10:01.384;0;16.2;13:32.158;10:10:32.158;0:23.484;0:28.256;10:01.384;;Zane MALONEY;;;B;LOLA YAMAHA ABT Formula E Team;LOLA;;false;
22;1;4;1:22.602;0;;30.443;0;29.798;0;22.361;0;127.8;14:54.760;10:11:54.760;0:30.443;0:29.798;0:22.361;;Zane MALONEY;0:09:44.640;;B;LOLA YAMAHA ABT Formula E Team;LOLA;;false;
22;1;5;1:19.585;0;;26.027;0;29.344;0;24.214;0;132.7;16:14.345;10:13:14.345;0:26.027;0:29.344;0:24.214;;Zane MALONEY;;;B;LOLA YAMAHA ABT Formula E Team;LOLA;;false;
22;1;6;1:12.550;2;;23.186;0;27.956;2;21.408;2;145.5;17:26.895;10:14:26.895;0:23.186;0:27.956;0:21.408;;Zane MALONEY;;;B;LOLA YAMAHA ABT Formula E Team;LOLA;;false;
22;1;7;1:41.929;0;;26.777;0;45.700;0;29.452;0;103.6;19:08.824;10:16:08.824;0:26.777;0:45.700;0:29.452;;Zane MALONEY;;;B;LOLA YAMAHA ABT Formula E Team;LOLA;;false;
22;1;8;1:14.429;0;;23.183;2;29.570;0;21.676;0;141.9;20:23.253;10:17:23.253;0:23.183;0:29.570;0:21.676;;Zane MALONEY;;;B;LOLA YAMAHA ABT Formula E Team;LOLA;;false;
33;1;1;2:15.858;0;;1:17.461;0;33.101;0;25.296;0;70.0;2:15.858;09:59:15.858;1:17.461;0:33.101;0:25.296;;Dan TICKTUM;0:00:44.512;;B;Cupra Kiro;PORSCHE;;false;
33;1;2;1:23.593;0;;26.227;0;31.365;0;26.001;0;126.3;3:39.451;10:00:39.451;0:26.227;0:31.365;0:26.001;;Dan TICKTUM;;;B;Cupra Kiro;PORSCHE;;false;
33;1;3;9:29.856;0;B;24.939;0;31.307;0;8:33.610;0;18.5;13:09.307;10:10:09.307;0:24.939;0:31.307;8:33.610;;Dan TICKTUM;;;B;Cupra Kiro;PORSCHE;;false;
33;1;4;1:25.808;0;;29.362;0;31.033;0;25.413;0;123.1;14:35.115;10:11:35.115;0:29.362;0:31.033;0:25.413;;Dan TICKTUM;0:08:05.420;;B;Cupra Kiro;PORSCHE;;false;
33;1;5;1:22.667;0;;25.323;0;33.195;0;24.149;0;127.7;15:57.782;10:12:57.782;0:25.323;0:33.195;0:24.149;;Dan TICKTUM;;;B;Cupra Kiro;PORSCHE;;false;
33;1;6;1:12.160;0;;23.033;0;27.941;0;21.186;2;146.3;17:09.942;10:14:09.942;0:23.033;0:27.941;0:21.186;;Dan TICKTUM;;;B;Cupra Kiro;PORSCHE;;false;
