NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;0;1:19.795;0;;24.621;0;31.713;0;23.461;0;119.2;1:19.795;14:10:40.258;0:24.621;0:31.713;0:23.461;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;1;1:18.213;0;;24.980;0;30.361;0;22.872;0;135.0;2:38.008;14:11:58.471;0:24.980;0:30.361;0:22.872;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;2;1:23.740;0;;24.737;0;30.984;0;28.019;0;126.1;4:01.748;14:13:22.211;0:24.737;0:30.984;0:28.019;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;3;4:00.976;0;;1:04.536;0;1:45.348;0;1:11.092;0;43.8;8:02.724;14:17:23.187;1:04.536;1:45.348;1:11.092;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;4;3:40.779;0;;1:20.073;0;1:35.676;0;45.030;0;47.8;11:43.503;14:21:03.966;1:20.073;1:35.676;0:45.030;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;5;1:52.661;0;;41.669;0;46.837;0;24.155;0;93.7;13:36.164;14:22:56.627;0:41.669;0:46.837;0:24.155;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;6;1:20.200;0;;25.976;0;31.363;0;22.861;0;131.7;14:56.364;14:24:16.827;0:25.976;0:31.363;0:22.861;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;7;1:19.297;0;;25.658;0;31.081;0;22.558;0;133.2;16:15.661;14:25:36.124;0:25.658;0:31.081;0:22.558;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;8;1:15.908;0;;24.333;0;29.810;0;21.765;0;139.1;17:31.569;14:26:52.032;0:24.333;0:29.810;0:21.765;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;9;1:15.142;0;;24.257;0;29.249;0;21.636;0;140.5;18:46.711;14:28:07.174;0:24.257;0:29.249;0:21.636;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
