TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1733591394;07/12/2024 17:09:54;34,27;50,6;37,93;926,57;2,16;63;-999;
1733591454;07/12/2024 17:10:54;34,42;50,6;37,79;926,56;1,51;49;-999;
1733591514;07/12/2024 17:11:54;34,4;50,5;37,33;926,57;1,99;18;-999;
1733591574;07/12/2024 17:12:54;34,29;50,5;37,76;926,52;2,33;47;-999;
1733591634;07/12/2024 17:13:54;34,23;50,3;37,37;926,54;1,58;2;-999;
1733591694;07/12/2024 17:14:54;34,08;50,1;37,88;926,52;2,38;327;-999;
1733591754;07/12/2024 17:15:54;33,95;49,9;37,94;926,48;2,39;338;-999;
1733591814;07/12/2024 17:16:54;33,91;49,6;38,34;926,49;2,74;330;-999;
1733591874;07/12/2024 17:17:54;33,79;49,2;38,46;926,49;1,53;356;-999;
1733591934;07/12/2024 17:18:54;33,69;49;38,44;926,49;3,5;40;-999;
1733591994;07/12/2024 17:19:54;33,6;48,9;38,81;926,44;1,82;12;-999;
1733592054;07/12/2024 17:20:54;33,5;48,7;39,3;926,54;1,38;2;-999;
1733592114;07/12/2024 17:21:54;33,5;48,6;39,72;926,56;2,28;38;-999;
1733592174;07/12/2024 17:22:54;33,54;48,6;39,73;926,57;0,6;8;-999;
1733592234;07/12/2024 17:23:54;33,55;48,2;39,68;926,49;1,54;33;-999;
1733592294;07/12/2024 17:24:54;33,54;48,1;40,15;926,55;2,17;45;-999;
1733592355;07/12/2024 17:25:55;33,58;48;40,12;926,64;2,11;15;-999;
1733592415;07/12/2024 17:26:55;33,51;47,8;39,13;926,59;0,68;15;-999;
1733592475;07/12/2024 17:27:55;33,55;47,8;39,58;926,63;1,65;22;-999;
1733592535;07/12/2024 17:28:55;33,6;47,8;39,73;926,63;3,15;351;-999;
1733592595;07/12/2024 17:29:55;33,6;47,7;39,9;926,66;1,79;327;-999;
1733592655;07/12/2024 17:30:55;33,55;47,5;40,01;926,68;1,53;3;-999;
1733592715;07/12/2024 17:31:55;33,43;47,4;40,09;926,67;3,18;7;-999;
1733592775;07/12/2024 17:32:55;33,37;47,3;39,86;926,68;3,67;335;-999;
1733592835;07/12/2024 17:33:55;33,34;47,2;39,87;926,64;2,07;287;-999;
