Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
2;Stoffel VANDOORNE;Maserati MSG Racing;1;T11;20;14:41:58.118;1;yes;no
5;Taylor BARNARD;NEOM McLaren Formula E Team;1;T11;27;15:19:36.500;1;yes;no
7;Maximilian GÜNTHER;DS PENSKE;1;T11;24;15:15:46.766;2;yes;no
7;Maximilian GÜNTHER;DS PENSKE;2;T11;34;15:53:19.944;2;yes;no
8;Sam BIRD;NEOM McLaren Formula E Team;1;T11;26;15:18:21.362;1;yes;no
13;António Félix DA COSTA;TAG Heuer Porsche Formula E Team;1;T11;26;15:18:17.764;2;yes;no
13;António Félix DA COSTA;TAG Heuer Porsche Formula E Team;2;T11;34;15:53:15.947;2;yes;no
25;Jean-Éric VERGNE;DS PENSKE;1;T11;19;14:40:44.584;3;yes;no
25;Jean-Éric VERGNE;DS PENSKE;2;T11;25;15:17:07.500;3;yes;no
25;Jean-Éric VERGNE;DS PENSKE;3;T11;32;15:50:41.383;3;yes;no
33;Dan TICKTUM;Cupra Kiro;1;T11;31;15:49:31.747;2;yes;no
33;Dan TICKTUM;Cupra Kiro;2;T11;32;15:50:40.946;2;yes;no
48;Edoardo MORTARA;MAHINDRA RACING;1;T11;6;14:24:14.995;1;yes;no
