POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;7;9;1:13.352;-;-;129.1;9;DS PENSKE;;B;;DS E-TENSE FE25;HANKOOK;;;;;;;;;;12;Maximilian;GÜNTHER;;GER;GER;GUE;;;;;;
2;27;9;1:13.423;+0.071;+0.071;129.0;9;Andretti Formula E;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;18;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
3;13;9;1:13.491;+0.139;+0.068;128.8;9;TAG Heuer Porsche Formula E Team;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;2;António Félix;DA COSTA;;POR;POR;DAC;;;;;;
4;25;9;1:13.528;+0.176;+0.037;128.8;9;DS PENSKE;;B;;DS E-TENSE FE25;HANKOOK;;;;;;;;;;10;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
5;8;8;1:13.733;+0.381;+0.205;128.4;9;NEOM McLaren Formula E Team;;B;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;4;Sam;BIRD;;GBR;GBR;BIR;;;;;;
6;21;7;1:14.061;+0.709;+0.328;127.8;9;MAHINDRA RACING;;B;;M11Electro;HANKOOK;;;;;;;;;;6;Nyck;DE VRIES;;NED;NED;DEV;;;;;;
7;55;9;1:14.134;+0.782;+0.073;127.7;9;Maserati MSG Racing;;B;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;20;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
8;33;7;1:14.288;+0.936;+0.154;127.4;9;Cupra Kiro;;B;;Porsche 99X Electric WCG3;HANKOOK;;;;;;;;;;8;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
9;17;7;1:14.389;+1.037;+0.101;127.3;8;Nissan Formula E Team;;B;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;14;Norman;NATO;;FRA;FRA;NAT;;;;;;
10;4;3;1:20.488;+7.136;+6.099;117.6;9;Envision Racing;;B;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;22;Robin;FRIJNS;;NED;NED;FRI;;;;;;
11;37;4;1:20.644;+7.292;+0.156;117.4;7;Jaguar TCS Racing;;B;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;16;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
