POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;23;Classified;36;48:20.764;-;-;35;1:13.629;128.6;Nissan Formula E Team;;;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;15;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
2;13;Classified;36;48:21.164;+0.400;+0.400;36;1:13.668;128.5;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;2;António Félix;DA COSTA;;POR;POR;DAC;;;;;;
3;1;Classified;36;48:22.619;+1.855;+1.455;35;1:13.675;128.5;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;9;Pascal;WEHRLEIN;;GER;GER;WEH;;;;;;
4;27;Classified;36;48:22.764;+2.000;+0.145;36;1:13.552;128.7;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;18;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
5;25;Classified;36;48:23.729;+2.965;+0.965;35;1:13.775;128.3;DS PENSKE;;;;DS E-TENSE FE25;HANKOOK;;;;;;;;;;10;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
6;7;Classified;36;48:24.271;+3.507;+0.542;35;1:13.661;128.5;DS PENSKE;;;;DS E-TENSE FE25;HANKOOK;;;;;;;;;;12;Maximilian;GÜNTHER;;GER;GER;GUE;;;;;;
7;2;Classified;36;48:25.255;+4.491;+0.984;36;1:13.824;128.3;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;11;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
8;21;Classified;36;48:25.928;+5.164;+0.673;35;1:13.852;128.2;MAHINDRA RACING;;;;M11Electro;HANKOOK;;;;;;;;;;6;Nyck;DE VRIES;;NED;NED;DEV;;;;;;
9;51;Classified;36;48:26.834;+6.070;+0.906;18;1:13.863;128.2;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;21;Nico;MÜLLER;;SUI;SUI;MUE;;;;;;
10;55;Classified;36;48:29.328;+8.564;+2.494;36;1:13.955;128.0;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;20;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
11;4;Classified;36;48:30.069;+9.305;+0.741;34;1:12.912;129.9;Envision Racing;;;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;22;Robin;FRIJNS;;NED;NED;FRI;;;;;;
12;37;Classified;36;48:31.585;+10.821;+1.516;34;1:12.661;130.3;Jaguar TCS Racing;;;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;16;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
13;17;Classified;36;48:31.837;+11.073;+0.252;36;1:13.274;129.2;Nissan Formula E Team;;;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;14;Norman;NATO;;FRA;FRA;NAT;;;;;;
14;5;Classified;36;48:32.998;+12.234;+1.161;34;1:12.921;129.8;NEOM McLaren Formula E Team;;;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;3;Taylor;BARNARD;;GBR;GBR;BAR;;;;;;
15;22;Classified;36;48:36.041;+15.277;+3.043;25;1:14.431;127.2;LOLA YAMAHA ABT Formula E Team;;;;Lola T001;HANKOOK;;;;;;;;;;13;Zane;MALONEY;;BAR;BAR;MAL;;;;;;
16;33;Classified;36;48:36.457;+15.693;+0.416;22;1:13.155;129.4;Cupra Kiro;;;;Porsche 99X Electric WCG3;HANKOOK;;;;;;;;;;8;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
17;16;Classified;36;48:40.570;+19.806;+4.113;35;1:12.547;130.5;Envision Racing;;;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;7;Sébastien;BUEMI;;SUI;SUI;BUE;;;;;;
18;8;Classified;36;48:42.093;+21.329;+1.523;36;1:15.142;126.0;NEOM McLaren Formula E Team;;;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;4;Sam;BIRD;;GBR;GBR;BIR;;;;;;
19;48;Classified;36;48:44.808;+24.044;+2.715;34;1:13.290;129.2;MAHINDRA RACING;;;;M11Electro;HANKOOK;;;;;;;;;;5;Edoardo;MORTARA;;SUI;SUI;MOR;;;;;;
20;11;Classified;36;49:00.605;+39.841;+15.797;34;1:13.432;128.9;LOLA YAMAHA ABT Formula E Team;;;;Lola T001;HANKOOK;;;;;;;;;;19;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
;9;Not classified;30;40:00.178;;;19;1:14.136;127.7;Jaguar TCS Racing;;;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;1;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
;3;Not classified;27;34:28.832;;;19;1:14.633;126.9;Cupra Kiro;;;;Porsche 99X Electric WCG3;HANKOOK;;;;;;;;;;17;David;BECKMANN;;GER;GER;BEC;;;;;;
