NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:44.794;0;;40.366;0;36.713;0;27.715;0;86.3;1:44.794;09:41:44.794;0:40.366;0:36.713;0:27.715;;Pascal WEHRLEIN;0:00:13.023;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;2;1:29.268;0;;27.603;0;34.524;0;27.141;0;106.1;3:14.062;09:43:14.062;0:27.603;0:34.524;0:27.141;;Pascal WEHRLEIN;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;3;1:24.833;0;;26.019;0;33.201;0;25.613;0;111.6;4:38.895;09:44:38.895;0:26.019;0:33.201;0:25.613;;Pascal WEHRLEIN;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;4;1:27.753;0;;26.686;0;33.757;0;27.310;0;107.9;6:06.648;09:46:06.648;0:26.686;0:33.757;0:27.310;;Pascal WEHRLEIN;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;5;1:16.553;0;;23.775;0;29.501;0;23.277;0;123.7;7:23.201;09:47:23.201;0:23.775;0:29.501;0:23.277;;Pascal WEHRLEIN;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;6;1:31.614;0;;28.044;0;34.222;0;29.348;0;103.3;8:54.815;09:48:54.815;0:28.044;0:34.222;0:29.348;;Pascal WEHRLEIN;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;7;1:15.094;0;;23.059;0;29.203;0;22.832;0;126.1;10:09.909;09:50:09.909;0:23.059;0:29.203;0:22.832;;Pascal WEHRLEIN;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;8;1:37.479;0;;27.350;0;38.502;0;31.627;0;97.1;11:47.388;09:51:47.388;0:27.350;0:38.502;0:31.627;;Pascal WEHRLEIN;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;9;1:14.610;3;;22.981;3;29.108;2;22.521;3;126.9;13:01.998;09:53:01.998;0:22.981;0:29.108;0:22.521;;Pascal WEHRLEIN;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
11;1;1;1:47.102;0;;43.840;0;36.371;0;26.891;0;84.4;1:47.102;09:41:47.102;0:43.840;0:36.371;0:26.891;;Lucas DI GRASSI;0:00:17.067;;A;LOLA YAMAHA ABT Formula E Team;LOLA;;false;
