NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
13;1;1;1:42.671;0;;39.197;0;36.572;0;26.902;0;88.1;1:42.671;09:58:42.671;0:39.197;0:36.572;0:26.902;;António Félix DA COSTA;0:00:12.177;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
13;1;2;1:26.690;0;;28.295;0;32.686;0;25.709;0;109.2;3:09.361;10:00:09.361;0:28.295;0:32.686;0:25.709;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
13;1;3;1:22.487;0;;25.754;0;31.636;0;25.097;0;114.8;4:31.848;10:01:31.848;0:25.754;0:31.636;0:25.097;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
13;1;4;1:26.971;0;;25.905;0;31.920;0;29.146;0;108.9;5:58.819;10:02:58.819;0:25.905;0:31.920;0:29.146;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
13;1;5;1:14.433;0;;23.084;0;28.709;0;22.640;0;127.2;7:13.252;10:04:13.252;0:23.084;0:28.709;0:22.640;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
13;1;6;1:32.807;0;;27.538;0;36.118;0;29.151;0;102.0;8:46.059;10:05:46.059;0:27.538;0:36.118;0:29.151;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
13;1;7;1:13.603;0;;23.034;0;28.266;3;22.303;0;128.6;9:59.662;10:06:59.662;0:23.034;0:28.266;0:22.303;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
13;1;8;1:40.858;0;;31.043;0;40.627;0;29.188;0;93.9;11:40.520;10:08:40.520;0:31.043;0:40.627;0:29.188;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
13;1;9;1:13.491;2;;22.821;2;28.381;0;22.289;2;128.8;12:54.011;10:09:54.011;0:22.821;0:28.381;0:22.289;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
17;1;1;1:44.228;0;;40.729;0;36.850;0;26.649;0;86.8;1:44.228;09:58:44.228;0:40.729;0:36.850;0:26.649;;Norman NATO;0:00:13.579;;B;Nissan Formula E Team;NISSAN;;false;
