NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:21.611;0;;27.519;0;31.005;0;23.087;0;110.8;1:21.611;14:06:27.153;0:27.519;0:31.005;0:23.087;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;2;1:17.822;0;;25.088;0;30.113;0;22.621;0;121.7;2:39.433;14:07:44.975;0:25.088;0:30.113;0:22.621;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;3;1:16.769;0;;24.787;0;29.584;0;22.398;0;123.3;3:56.202;14:09:01.744;0:24.787;0:29.584;0:22.398;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;4;1:16.344;0;;24.564;0;29.516;0;22.264;0;124.0;5:12.546;14:10:18.088;0:24.564;0:29.516;0:22.264;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;5;1:15.974;0;;24.479;0;29.378;0;22.117;0;124.6;6:28.520;14:11:34.062;0:24.479;0:29.378;0:22.117;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;6;1:15.956;0;;24.308;0;29.412;0;22.236;0;124.7;7:44.476;14:12:50.018;0:24.308;0:29.412;0:22.236;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;7;1:16.069;0;;24.526;0;29.380;0;22.163;0;124.5;9:00.545;14:14:06.087;0:24.526;0:29.380;0:22.163;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;8;1:16.129;0;;24.597;0;29.397;0;22.135;0;124.4;10:16.674;14:15:22.216;0:24.597;0:29.397;0:22.135;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;9;1:15.836;0;;24.446;0;29.352;0;22.038;0;124.8;11:32.510;14:16:38.052;0:24.446;0:29.352;0:22.038;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;10;1:16.309;0;;24.598;0;29.517;0;22.194;0;124.1;12:48.819;14:17:54.361;0:24.598;0:29.517;0:22.194;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
1;1;11;1:16.411;0;;24.633;0;29.530;0;22.248;0;123.9;14:05.230;14:19:10.772;0:24.633;0:29.530;0:22.248;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;
