TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1736610037;11/01/2025 15:40:37;16,99;21,3;62,43;781,6;10,8;64;-999;
1736610098;11/01/2025 15:41:38;16,96;21,5;63,23;781,6;4,68;70;-999;
1736610159;11/01/2025 15:42:39;16,94;21,6;63,04;781,6;5,04;298;-999;
1736610220;11/01/2025 15:43:40;16,99;21,7;62,95;781,6;8,28;118;-999;
1736610281;11/01/2025 15:44:41;17,07;21,6;62,49;781,6;6,12;67;-999;
1736610342;11/01/2025 15:45:42;17,09;21,4;62,52;781,5;9,72;71;-999;
1736610403;11/01/2025 15:46:43;17,06;21,4;62,08;781,6;9;23;-999;
1736610464;11/01/2025 15:47:44;16,94;21,4;62,37;781,6;7,56;44;-999;
1736610525;11/01/2025 15:48:45;16,91;21,2;62,35;781,6;7,56;3;-999;
1736610586;11/01/2025 15:49:46;16,86;21,2;62,48;781,6;6,12;53;-999;
1736610647;11/01/2025 15:50:47;16,75;21,3;62,58;781,4;9,72;340;-999;
1736610708;11/01/2025 15:51:48;16,71;21,5;62,69;781,4;12,24;359;-999;
