TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1736611074;11/01/2025 15:57:54;16,26;21,2;63,73;781,6;7,2;25;-999;
1736611135;11/01/2025 15:58:55;16,16;21,1;63,8;781,7;7,2;50;-999;
1736611196;11/01/2025 15:59:56;16,07;20,9;64,05;781,7;9,36;69;-999;
1736611257;11/01/2025 16:00:57;15,99;20,6;64,64;781,7;10,44;41;-999;
1736611318;11/01/2025 16:01:58;15,91;20,6;65,49;781,8;2,88;8;-999;
1736611379;11/01/2025 16:02:59;15,91;21,2;65,19;781,8;4,32;52;-999;
1736611440;11/01/2025 16:04:00;15,94;21,5;65,09;781,8;8,28;38;-999;
1736611501;11/01/2025 16:05:01;15,99;21,6;65,38;781,8;7,56;62;-999;
1736611562;11/01/2025 16:06:02;16,07;22,1;65,17;781,8;8,64;64;-999;
1736611623;11/01/2025 16:07:03;16,16;22,2;65,01;781,7;8,28;28;-999;
1736611684;11/01/2025 16:08:04;16,21;22,5;64,13;781,8;12,6;298;-999;
