TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1736625954;11/01/2025 20:05:54;19,34;32,4;51,7;779;8,28;14;-999;
1736626015;11/01/2025 20:06:55;19,41;32,4;51,01;778,9;9,72;315;-999;
1736626076;11/01/2025 20:07:56;19,45;31,9;51,04;779;10,08;52;-999;
1736626137;11/01/2025 20:08:57;19,4;31,8;51,31;778,9;11,88;54;-999;
1736626198;11/01/2025 20:09:58;19,35;32;51,79;779;8,64;53;-999;
1736626259;11/01/2025 20:10:59;19,35;31,9;52,08;778,9;8,28;26;-999;
1736626320;11/01/2025 20:12:00;19,36;31,9;52,17;778,9;7,56;327;-999;
1736626381;11/01/2025 20:13:01;19,39;31,3;52,46;778,9;4,32;51;-999;
1736626441;11/01/2025 20:14:01;19,44;31,1;51,55;779;3,96;320;-999;
1736626502;11/01/2025 20:15:02;19,43;31,1;51,53;778,9;5,4;128;-999;
1736626563;11/01/2025 20:16:03;19,46;31;51,06;778,9;13,68;39;-999;
1736626624;11/01/2025 20:17:04;19,43;31;51,07;778,9;11,88;13;-999;
1736626685;11/01/2025 20:18:05;19,39;31;51,11;778,9;7,92;39;-999;
1736626746;11/01/2025 20:19:06;19,37;30,9;51,23;779;11,88;26;-999;
1736626807;11/01/2025 20:20:07;19,3;30,7;51,59;778,9;10,44;45;-999;
1736626868;11/01/2025 20:21:08;19,25;30,5;51,64;779;7,56;35;-999;
1736626929;11/01/2025 20:22:09;19,25;30,4;51,82;778,9;10,44;31;-999;
1736626990;11/01/2025 20:23:10;19,23;30,2;51,88;778,9;7,56;48;-999;
1736627051;11/01/2025 20:24:11;19,23;30,2;51,84;778,9;8,28;34;-999;
1736627112;11/01/2025 20:25:12;19,25;30,1;51,91;779;6,12;351;-999;
1736627173;11/01/2025 20:26:13;19,27;30;51,81;779;3,24;30;-999;
1736627234;11/01/2025 20:27:14;19,33;29,7;51,36;778,8;11,16;68;-999;
1736627295;11/01/2025 20:28:15;19,28;29,5;51,39;778,9;10,44;45;-999;
1736627356;11/01/2025 20:29:16;19,28;29,4;51,31;778,9;6,84;54;-999;
1736627417;11/01/2025 20:30:17;19,2;29,2;51,25;778,8;14,04;56;-999;
1736627478;11/01/2025 20:31:18;19,11;29,1;51,39;779;4,68;76;-999;
1736627539;11/01/2025 20:32:19;19,12;29;51,62;778,9;6,48;25;-999;
1736627600;11/01/2025 20:33:20;19,07;28,9;52,41;778,9;7,92;79;-999;
1736627661;11/01/2025 20:34:21;19,03;28,7;52,73;779;7,2;111;-999;
1736627722;11/01/2025 20:35:22;19,03;28,6;52,79;778,8;8,28;64;-999;
1736627783;11/01/2025 20:36:23;19,02;28,5;52,53;779;2,88;2;-999;
1736627844;11/01/2025 20:37:24;19,02;28,5;52,86;779;6,48;299;-999;
1736627905;11/01/2025 20:38:25;19,05;28,5;52,76;779;6,12;63;-999;
1736627966;11/01/2025 20:39:26;19,07;28,4;52,45;779;5,76;67;-999;
1736628027;11/01/2025 20:40:27;19,04;28,4;52,66;779;6,84;76;-999;
1736628088;11/01/2025 20:41:28;18,99;28,4;52,14;778,9;6,12;57;-999;
1736628149;11/01/2025 20:42:29;18,93;28,3;52,32;778,9;6,84;48;-999;
1736628210;11/01/2025 20:43:30;18,92;28,3;52,64;778,9;7,56;81;-999;
1736628271;11/01/2025 20:44:31;18,9;28,2;52,21;778,8;10,44;72;-999;
1736628332;11/01/2025 20:45:32;18,89;28,2;52,47;778,9;4,32;301;-999;
1736628393;11/01/2025 20:46:33;18,88;28,1;52,38;778,8;11,88;61;-999;
1736628454;11/01/2025 20:47:34;18,89;28,1;52,34;778,7;7,2;46;-999;
1736628515;11/01/2025 20:48:35;18,89;28;52,84;778,8;10,44;87;-999;
1736628576;11/01/2025 20:49:36;18,91;28;52,59;778,8;10,8;59;-999;
1736628637;11/01/2025 20:50:37;18,94;27,9;52,64;778,8;2,88;340;-999;
1736628698;11/01/2025 20:51:38;18,92;27,8;52,59;778,8;5,04;36;-999;
1736628759;11/01/2025 20:52:39;18,97;27,7;52,69;778,8;3,6;51;-999;
