POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;5;8;1:17.429;-;-;139.5;8;NEOM McLaren Formula E Team;;A;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;5;Taylor;BARNARD;;GBR;GBR;BAR;;;;;;
2;7;7;1:17.491;+0.062;+0.062;139.4;7;DS PENSKE;;A;;DS E-TENSE FE25;HANKOOK;;;;;;;;;;11;Maximilian;GÜNTHER;;GER;GER;GUE;;;;;;
3;21;8;1:17.492;+0.063;+0.001;139.4;8;MAHINDRA RACING;;A;;M11Electro;HANKOOK;;;;;;;;;;9;Nyck;DE VRIES;;NED;NED;DEV;;;;;;
4;9;6;1:17.507;+0.078;+0.015;139.4;8;Jaguar TCS Racing;;A;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;3;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
5;37;7;1:17.663;+0.234;+0.156;139.1;7;Jaguar TCS Racing;;A;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;18;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
6;8;8;1:17.751;+0.322;+0.088;139.0;8;NEOM McLaren Formula E Team;;A;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;7;Sam;BIRD;;GBR;GBR;BIR;;;;;;
7;13;6;1:17.774;+0.345;+0.023;138.9;8;TAG Heuer Porsche Formula E Team;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;1;António Félix;DA COSTA;;POR;POR;DAC;;;;;;
8;51;4;1:17.855;+0.426;+0.081;138.8;7;Andretti Formula E;;A;;Porsche 99X Electric;HANKOOK;;;;;;;;;;15;Nico;MÜLLER;;SUI;SUI;MUE;;;;;;
9;16;7;1:17.993;+0.564;+0.138;138.5;7;Envision Racing;;A;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;13;Sébastien;BUEMI;;SUI;SUI;BUE;;;;;;
10;11;4;1:18.351;+0.922;+0.358;137.9;6;LOLA YAMAHA ABT Formula E Team;;A;;Lola T001;HANKOOK;;;;;;;;;;21;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
11;4;5;1:18.404;+0.975;+0.053;137.8;7;Envision Racing;;A;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;17;Robin;FRIJNS;;NED;NED;FRI;;;;;;
