POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;7;Classified;31;43:35.339;-;-;27;1:17.179;140.0;DS PENSKE;;;;DS E-TENSE FE25;HANKOOK;;;;;;;;;;11;Maximilian;GÜNTHER;;GER;GER;GUE;;;;;;
2;23;Classified;31;43:36.203;+0.864;+0.864;16;1:18.320;137.9;Nissan Formula E Team;;;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;2;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
3;5;Classified;31;43:36.492;+1.153;+0.289;27;1:17.557;139.3;NEOM McLaren Formula E Team;;;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;5;Taylor;BARNARD;;GBR;GBR;BAR;;;;;;
4;21;Classified;31;43:36.787;+1.448;+0.295;27;1:17.766;138.9;MAHINDRA RACING;;;;M11Electro;HANKOOK;;;;;;;;;;9;Nyck;DE VRIES;;NED;NED;DEV;;;;;;
5;55;Classified;31;43:45.153;+9.814;+8.366;16;1:17.976;138.6;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;16;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
6;25;Classified;31;43:45.511;+10.172;+0.358;16;1:17.881;138.7;DS PENSKE;;;;DS E-TENSE FE25;HANKOOK;;;;;;;;;;8;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
7;48;Classified;31;43:46.651;+11.312;+1.140;27;1:17.969;138.6;MAHINDRA RACING;;;;M11Electro;HANKOOK;;;;;;;;;;10;Edoardo;MORTARA;;SUI;SUI;MOR;;;;;;
8;8;Classified;31;43:47.090;+11.751;+0.439;15;1:18.339;137.9;NEOM McLaren Formula E Team;;;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;7;Sam;BIRD;;GBR;GBR;BIR;;;;;;
9;13;Classified;31;43:47.671;+12.332;+0.581;16;1:17.253;139.8;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;1;António Félix;DA COSTA;;POR;POR;DAC;;;;;;
10;2;Classified;31;43:48.480;+13.141;+0.809;27;1:17.855;138.8;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;12;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
11;37;Classified;31;43:49.964;+14.625;+1.484;16;1:18.899;136.9;Jaguar TCS Racing;;;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;18;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
12;16;Classified;31;43:52.146;+16.807;+2.182;16;1:18.334;137.9;Envision Racing;;;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;13;Sébastien;BUEMI;;SUI;SUI;BUE;;;;;;
13;4;Classified;31;43:53.107;+17.768;+0.961;16;1:18.273;138.0;Envision Racing;;;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;17;Robin;FRIJNS;;NED;NED;FRI;;;;;;
14;3;Classified;31;43:56.049;+20.710;+2.942;18;1:18.030;138.5;Cupra Kiro;;;;Porsche 99X Electric WCG3;HANKOOK;;;;;;;;;;22;David;BECKMANN;;GER;GER;BEC;;;;;;
15;1;Classified;31;44:07.861;+32.522;+11.812;26;1:17.899;138.7;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;4;Pascal;WEHRLEIN;;GER;GER;WEH;;;;;;
16;22;Classified;31;44:18.052;+42.713;+10.191;26;1:18.332;137.9;LOLA YAMAHA ABT Formula E Team;;;;Lola T001;HANKOOK;;;;;;;;;;20;Zane;MALONEY;;BAR;BAR;MAL;;;;;;
17;17;Classified;31;44:24.351;+49.012;+6.299;25;1:18.695;137.3;Nissan Formula E Team;;;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;19;Norman;NATO;;FRA;FRA;NAT;;;;;;
18;33;Classified;31;44:49.467;+1:14.128;+25.116;29;1:19.377;136.1;Cupra Kiro;;;;Porsche 99X Electric WCG3;HANKOOK;;;;;;;;;;14;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
19;9;Classified;30;43:54.041;1 Lap;1 Lap;27;1:17.823;138.8;Jaguar TCS Racing;;;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;3;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
;27;Not classified;30;43:01.818;;;13;1:18.469;137.7;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;6;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
;51;Not classified;0;;;;0;;;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;15;Nico;MÜLLER;;SUI;SUI;MUE;;;;;;
;11;Disqualified;31;44:10.527;;;27;1:17.880;138.7;LOLA YAMAHA ABT Formula E Team;;;;Lola T001;HANKOOK;;;;;;;;;;21;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
