NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;ATTACK_MODE;
11;1;1;4:03.018;0;;2:47.663;0;34.852;0;40.503;0;44.5;4:03.018;15:24:03.018;2:47.663;0:34.852;0:40.503;;Lucas DI GRASSI;0:02:17.722;;A;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
11;1;2;1:31.033;0;;25.724;0;27.361;0;37.948;0;118.7;5:34.051;15:25:34.051;0:25.724;0:27.361;0:37.948;;Lucas DI GRASSI;;;A;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
11;1;3;1:24.298;0;;22.989;0;25.904;0;35.405;0;128.2;6:58.349;15:26:58.349;0:22.989;0:25.904;0:35.405;;Lucas DI GRASSI;;;A;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
11;1;4;1:18.351;2;;22.064;2;24.305;0;31.982;2;137.9;8:16.700;15:28:16.700;0:22.064;0:24.305;0:31.982;;Lucas DI GRASSI;;;A;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
11;1;5;2:17.874;0;;33.787;0;46.093;0;57.994;0;78.4;10:34.574;15:30:34.574;0:33.787;0:46.093;0:57.994;;Lucas DI GRASSI;;;A;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
11;1;6;1:19.177;0;;22.080;0;24.190;2;32.907;0;136.4;11:53.751;15:31:53.751;0:22.080;0:24.190;0:32.907;;Lucas DI GRASSI;;;A;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
13;1;1;2:34.170;0;;1:26.637;0;29.815;0;37.718;0;70.1;2:34.170;15:22:34.170;1:26.637;0:29.815;0:37.718;;António Félix DA COSTA;0:00:56.638;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
13;1;2;1:29.407;0;;24.940;0;28.155;0;36.312;0;120.8;4:03.577;15:24:03.577;0:24.940;0:28.155;0:36.312;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
13;1;3;1:29.355;0;;24.048;0;26.076;0;39.231;0;120.9;5:32.932;15:25:32.932;0:24.048;0:26.076;0:39.231;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
13;1;4;1:18.213;0;;22.225;0;24.273;0;31.715;0;138.1;6:51.145;15:26:51.145;0:22.225;0:24.273;0:31.715;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
13;1;5;1:39.317;0;;27.389;0;34.389;0;37.539;0;108.8;8:30.462;15:28:30.462;0:27.389;0:34.389;0:37.539;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
13;1;6;1:17.774;2;;21.975;0;24.161;0;31.638;2;138.9;9:48.236;15:29:48.236;0:21.975;0:24.161;0:31.638;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
13;1;7;1:50.246;0;;28.517;0;39.048;0;42.681;0;98.0;11:38.482;15:31:38.482;0:28.517;0:39.048;0:42.681;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
13;1;8;1:17.804;0;;21.862;2;24.068;2;31.874;0;138.9;12:56.286;15:32:56.286;0:21.862;0:24.068;0:31.874;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
16;1;1;4:04.439;0;;2:47.302;0;36.072;0;41.065;0;44.2;4:04.439;15:24:04.439;2:47.302;0:36.072;0:41.065;;Sébastien BUEMI;0:02:16.638;;A;Envision Racing;JAGUAR;;false;false;
16;1;2;1:30.822;0;;25.927;0;28.519;0;36.376;0;119.0;5:35.261;15:25:35.261;0:25.927;0:28.519;0:36.376;;Sébastien BUEMI;;;A;Envision Racing;JAGUAR;;false;false;
16;1;3;1:36.644;0;;24.032;0;27.077;0;45.535;0;111.8;7:11.905;15:27:11.905;0:24.032;0:27.077;0:45.535;;Sébastien BUEMI;;;A;Envision Racing;JAGUAR;;false;false;
16;1;4;1:37.984;0;;22.153;0;30.180;0;45.651;0;110.3;8:49.889;15:28:49.889;0:22.153;0:30.180;0:45.651;;Sébastien BUEMI;;;A;Envision Racing;JAGUAR;;false;false;
16;1;5;1:18.214;0;;22.135;0;24.174;2;31.905;0;138.1;10:08.103;15:30:08.103;0:22.135;0:24.174;0:31.905;;Sébastien BUEMI;;;A;Envision Racing;JAGUAR;;false;false;
16;1;6;1:38.672;0;;28.668;0;31.334;0;38.670;0;109.5;11:46.775;15:31:46.775;0:28.668;0:31.334;0:38.670;;Sébastien BUEMI;;;A;Envision Racing;JAGUAR;;false;false;
16;1;7;1:17.993;2;;22.004;2;24.324;0;31.665;2;138.5;13:04.768;15:33:04.768;0:22.004;0:24.324;0:31.665;;Sébastien BUEMI;;;A;Envision Racing;JAGUAR;;false;false;
21;1;1;3:22.238;0;;2:14.852;0;29.232;0;38.154;0;53.4;3:22.238;15:23:22.238;2:14.852;0:29.232;0:38.154;;Nyck DE VRIES;0:01:45.648;;A;MAHINDRA RACING;MAHINDRA RACING;;false;false;
21;1;2;1:22.772;0;;23.384;0;25.355;0;34.033;0;130.5;4:45.010;15:24:45.010;0:23.384;0:25.355;0:34.033;;Nyck DE VRIES;;;A;MAHINDRA RACING;MAHINDRA RACING;;false;false;
21;1;3;1:22.349;0;;23.358;0;25.690;0;33.301;0;131.2;6:07.359;15:26:07.359;0:23.358;0:25.690;0:33.301;;Nyck DE VRIES;;;A;MAHINDRA RACING;MAHINDRA RACING;;false;false;
21;1;4;1:17.780;0;;21.926;0;24.122;0;31.732;0;138.9;7:25.139;15:27:25.139;0:21.926;0:24.122;0:31.732;;Nyck DE VRIES;;;A;MAHINDRA RACING;MAHINDRA RACING;;false;false;
21;1;5;1:33.576;0;;27.142;0;30.193;0;36.241;0;115.5;8:58.715;15:28:58.715;0:27.142;0:30.193;0:36.241;;Nyck DE VRIES;;;A;MAHINDRA RACING;MAHINDRA RACING;;false;false;
21;1;6;1:17.548;0;;21.890;0;24.027;0;31.631;2;139.3;10:16.263;15:30:16.263;0:21.890;0:24.027;0:31.631;;Nyck DE VRIES;;;A;MAHINDRA RACING;MAHINDRA RACING;;false;false;
21;1;7;1:34.802;0;;27.062;0;31.479;0;36.261;0;114.0;11:51.065;15:31:51.065;0:27.062;0:31.479;0:36.261;;Nyck DE VRIES;;;A;MAHINDRA RACING;MAHINDRA RACING;;false;false;
21;1;8;1:17.492;2;;21.827;2;23.909;3;31.756;0;139.4;13:08.557;15:33:08.557;0:21.827;0:23.909;0:31.756;;Nyck DE VRIES;;;A;MAHINDRA RACING;MAHINDRA RACING;;false;false;
37;1;1;2:23.867;0;;1:10.677;0;33.331;0;39.859;0;75.1;2:23.867;15:22:23.867;1:10.677;0:33.331;0:39.859;;Nick CASSIDY;0:00:38.449;;A;Jaguar TCS Racing;JAGUAR;;false;false;
37;1;2;1:29.873;0;;26.016;0;28.460;0;35.397;0;120.2;3:53.740;15:23:53.740;0:26.016;0:28.460;0:35.397;;Nick CASSIDY;;;A;Jaguar TCS Racing;JAGUAR;;false;false;
37;1;3;1:31.495;0;;24.875;0;28.181;0;38.439;0;118.1;5:25.235;15:25:25.235;0:24.875;0:28.181;0:38.439;;Nick CASSIDY;;;A;Jaguar TCS Racing;JAGUAR;;false;false;
37;1;4;1:18.008;0;;22.041;0;24.268;0;31.699;2;138.5;6:43.243;15:26:43.243;0:22.041;0:24.268;0:31.699;;Nick CASSIDY;;;A;Jaguar TCS Racing;JAGUAR;;false;false;
