NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;ATTACK_MODE;
1;1;1;2:01.983;0;B;28.982;0;27.752;0;1:05.249;0;88.6;2:01.983;20:07:14.111;0:28.982;0:27.752;1:05.249;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;2;1:32.891;0;;30.482;0;27.167;0;35.242;0;116.3;3:34.874;20:08:47.002;0:30.482;0:27.167;0:35.242;;Pascal WEHRLEIN;0:00:39.875;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;3;1:27.183;0;;24.652;0;27.025;0;35.506;0;123.9;5:02.057;20:10:14.185;0:24.652;0:27.025;0:35.506;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;4;1:27.388;0;;24.661;0;27.487;0;35.240;0;123.6;6:29.445;20:11:41.573;0:24.661;0:27.487;0:35.240;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;5;1:26.966;0;;24.479;0;27.133;0;35.354;0;124.2;7:56.411;20:13:08.539;0:24.479;0:27.133;0:35.354;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;6;1:28.978;0;;24.288;0;26.450;0;38.240;0;121.4;9:25.389;20:14:37.517;0:24.288;0:26.450;0:38.240;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;7;1:50.793;0;;40.519;0;34.350;0;35.924;0;97.5;11:16.182;20:16:28.310;0:40.519;0:34.350;0:35.924;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;8;1:21.751;0;;22.781;0;24.840;0;34.130;0;132.2;12:37.933;20:17:50.061;0:22.781;0:24.840;0:34.130;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;9;1:22.772;0;;23.764;0;25.574;0;33.434;0;130.5;14:00.705;20:19:12.833;0:23.764;0:25.574;0:33.434;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;10;1:22.114;0;;23.180;0;25.662;0;33.272;0;131.6;15:22.819;20:20:34.947;0:23.180;0:25.662;0:33.272;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;11;1:20.502;0;;22.689;0;25.088;0;32.725;0;134.2;16:43.321;20:21:55.449;0:22.689;0:25.088;0:32.725;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;12;1:20.838;0;;22.733;0;24.986;0;33.119;0;133.6;18:04.159;20:23:16.287;0:22.733;0:24.986;0:33.119;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;13;1:20.182;0;;22.693;0;24.844;0;32.645;0;134.7;19:24.341;20:24:36.469;0:22.693;0:24.844;0:32.645;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
