TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1739536671;14/02/2025 12:37:51;26,34;36,9;62,98;1010,6;9,36;37;-999;
1739536732;14/02/2025 12:38:52;26,35;36,9;63,35;1010,4;6,84;17;-999;
1739536794;14/02/2025 12:39:54;26,42;36,8;63,32;1010,6;6,12;38;-999;
1739536855;14/02/2025 12:40:55;26,48;36,6;62,84;1010,6;9;43;-999;
1739536916;14/02/2025 12:41:56;26,41;36,6;62,42;1010,5;13,32;34;-999;
1739536977;14/02/2025 12:42:57;26,34;36,2;63,41;1010,6;10,08;41;-999;
1739537038;14/02/2025 12:43:58;26,34;36;63,03;1010,7;7,92;23;-999;
1739537099;14/02/2025 12:44:59;26,34;35,8;63,39;1010,7;8,64;64;-999;
1739537160;14/02/2025 12:46:00;26,4;35,7;63,73;1010,7;4,32;11;-999;
1739537221;14/02/2025 12:47:01;26,44;35,7;63,09;1010,7;8,28;56;-999;
1739537282;14/02/2025 12:48:02;26,47;35,3;63,15;1010,6;10,08;32;-999;
