TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1739552724;14/02/2025 17:05:24;25,18;28,5;64,61;1012,2;5,76;8;-999;
1739552785;14/02/2025 17:06:25;25,16;28,5;64,63;1012,1;7,56;358;-999;
1739552846;14/02/2025 17:07:26;25,19;28,4;64,65;1012,2;1,8;39;-999;
1739552908;14/02/2025 17:08:28;25,2;28,4;64,55;1012,2;3,96;56;-999;
1739552969;14/02/2025 17:09:29;25,25;28,4;64,54;1012,3;2,16;56;-999;
1739553030;14/02/2025 17:10:30;25,28;28,3;64,33;1012,3;5,04;325;-999;
1739553091;14/02/2025 17:11:31;25,28;28,3;64,25;1012,2;2,88;4;-999;
1739553152;14/02/2025 17:12:32;25,32;28,3;64,12;1012,2;2,88;4;-999;
1739553213;14/02/2025 17:13:33;25,32;28,3;64,07;1012,3;3,96;18;-999;
1739553274;14/02/2025 17:14:34;25,31;28,3;64,2;1012,3;1,44;65;-999;
1739553335;14/02/2025 17:15:35;25,32;28,2;64,06;1012,4;1,44;9;-999;
1739553396;14/02/2025 17:16:36;25,31;28,2;64,04;1012,3;2,16;6;-999;
1739553457;14/02/2025 17:17:37;25,33;28,2;64,02;1012,4;5,04;174;-999;
1739553518;14/02/2025 17:18:38;25,3;28,2;64,01;1012,4;2,88;25;-999;
1739553579;14/02/2025 17:19:39;25,33;28,2;63,98;1012,5;1,8;170;-999;
1739553640;14/02/2025 17:20:40;25,34;28,2;63,95;1012,4;2,16;46;-999;
1739553701;14/02/2025 17:21:41;25,35;28,2;63,88;1012,5;5,4;328;-999;
1739553762;14/02/2025 17:22:42;25,32;28,1;63,99;1012,4;6,84;4;-999;
1739553823;14/02/2025 17:23:43;25,32;28,1;64,04;1012,5;3,96;355;-999;
1739553884;14/02/2025 17:24:44;25,31;28,1;64,06;1012,6;1,08;260;-999;
1739553945;14/02/2025 17:25:45;25,29;28,1;64,09;1012,5;4,32;139;-999;
1739554006;14/02/2025 17:26:46;25,32;28,1;64,29;1012,5;3,24;327;-999;
1739554067;14/02/2025 17:27:47;25,31;28,1;64,41;1012,5;2,88;50;-999;
1739554128;14/02/2025 17:28:48;25,33;28,1;64,41;1012,4;2,52;336;-999;
1739554189;14/02/2025 17:29:49;25,32;28,1;64,4;1012,4;1,8;173;-999;
1739554250;14/02/2025 17:30:50;25,32;28;64,51;1012,4;1,44;44;-999;
1739554311;14/02/2025 17:31:51;25,34;28;64,41;1012,4;2,88;336;-999;
1739554372;14/02/2025 17:32:52;25,35;28;64,23;1012,4;4,68;51;-999;
1739554433;14/02/2025 17:33:53;25,35;28;64,27;1012,4;3,96;352;-999;
1739554494;14/02/2025 17:34:54;25,34;28;64,09;1012,4;3,6;3;-999;
1739554555;14/02/2025 17:35:55;25,33;28;64,19;1012,5;2,52;215;-999;
1739554616;14/02/2025 17:36:56;25,31;28;64,26;1012,5;2,52;47;-999;
1739554677;14/02/2025 17:37:57;25,32;28;64,2;1012,5;2,16;46;-999;
1739554739;14/02/2025 17:38:59;25,33;28;64,19;1012,6;2,16;153;-999;
1739554800;14/02/2025 17:40:00;25,34;28;64,2;1012,6;3,96;233;-999;
1739554861;14/02/2025 17:41:01;25,35;27,9;64,16;1012,7;4,32;29;-999;
1739554922;14/02/2025 17:42:02;25,35;28;64,15;1012,6;2,16;346;-999;
1739554983;14/02/2025 17:43:03;25,37;27,9;64,1;1012,6;0,72;161;-999;
1739555044;14/02/2025 17:44:04;25,38;27,9;63,98;1012,6;1,08;22;-999;
1739555105;14/02/2025 17:45:05;25,4;27,9;63,7;1012,6;3,24;180;-999;
1739555166;14/02/2025 17:46:06;25,4;27,9;63,55;1012,5;4,32;44;-999;
1739555227;14/02/2025 17:47:07;25,38;27,8;63,42;1012,5;3,6;42;-999;
1739555288;14/02/2025 17:48:08;25,38;27,8;63,42;1012,5;3,24;329;-999;
