POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;5;5;1:16.922;-;-;140.4;8;NEOM McLaren Formula E Team;;B;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;4;Taylor;BARNARD;;GBR;GBR;BAR;;;;;;
2;55;6;1:16.990;+0.068;+0.068;140.3;9;Maserati MSG Racing;;B;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;12;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
3;48;6;1:17.028;+0.106;+0.038;140.3;8;MAHINDRA RACING;;B;;M11Electro;HANKOOK;;;;;;;;;;10;Edoardo;MORTARA;;SUI;SUI;MOR;;;;;;
4;13;8;1:17.068;+0.146;+0.040;140.2;8;TAG Heuer Porsche Formula E Team;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;2;António Félix;DA COSTA;;POR;POR;DAC;;;;;;
5;21;6;1:17.156;+0.234;+0.088;140.0;8;MAHINDRA RACING;;B;;M11Electro;HANKOOK;;;;;;;;;;6;Nyck;DE VRIES;;NED;NED;DEV;;;;;;
6;17;8;1:17.189;+0.267;+0.033;140.0;8;Nissan Formula E Team;;B;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;20;Norman;NATO;;FRA;FRA;NAT;;;;;;
7;25;5;1:17.237;+0.315;+0.048;139.9;8;DS PENSKE;;B;;DS E-TENSE FE25;HANKOOK;;;;;;;;;;8;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
8;4;8;1:17.482;+0.560;+0.245;139.4;8;Envision Racing;;B;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;18;Robin;FRIJNS;;NED;NED;FRI;;;;;;
9;11;6;1:17.668;+0.746;+0.186;139.1;8;LOLA YAMAHA ABT Formula E Team;;B;;Lola T001;HANKOOK;;;;;;;;;;22;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
10;16;8;1:17.686;+0.764;+0.018;139.1;8;Envision Racing;;B;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;14;Sébastien;BUEMI;;SUI;SUI;BUE;;;;;;
11;51;8;1:17.798;+0.876;+0.112;138.9;8;Andretti Formula E;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;16;Nico;MÜLLER;;SUI;SUI;MUE;;;;;;
