NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;ATTACK_MODE;
11;1;1;2:19.001;0;;1:15.463;0;27.843;0;35.695;0;77.7;2:19.001;15:39:19.001;1:15.463;0:27.843;0:35.695;;Lucas DI GRASSI;0:00:48.891;;B;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
11;1;2;1:23.400;0;;23.390;0;25.917;0;34.093;0;129.5;3:42.401;15:40:42.401;0:23.390;0:25.917;0:34.093;;Lucas DI GRASSI;;;B;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
11;1;3;1:22.207;0;;22.769;0;25.377;0;34.061;0;131.4;5:04.608;15:42:04.608;0:22.769;0:25.377;0:34.061;;Lucas DI GRASSI;;;B;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
11;1;4;1:17.701;0;;21.672;2;24.079;0;31.950;0;139.0;6:22.309;15:43:22.309;0:21.672;0:24.079;0:31.950;;Lucas DI GRASSI;;;B;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
11;1;5;1:53.752;0;;29.384;0;38.460;0;45.908;0;95.0;8:16.061;15:45:16.061;0:29.384;0:38.460;0:45.908;;Lucas DI GRASSI;;;B;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
11;1;6;1:17.668;2;;21.913;0;23.986;2;31.769;0;139.1;9:33.729;15:46:33.729;0:21.913;0:23.986;0:31.769;;Lucas DI GRASSI;;;B;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
11;1;7;2:05.690;0;;33.957;0;41.825;0;49.908;0;86.0;11:39.419;15:48:39.419;0:33.957;0:41.825;0:49.908;;Lucas DI GRASSI;;;B;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
11;1;8;1:17.879;0;;22.142;0;24.241;0;31.496;2;138.7;12:57.298;15:49:57.298;0:22.142;0:24.241;0:31.496;;Lucas DI GRASSI;;;B;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
13;1;1;2:00.008;0;;51.382;0;30.422;0;38.204;0;90.0;2:00.008;15:39:00.008;0:51.382;0:30.422;0:38.204;;António Félix DA COSTA;0:00:21.655;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
13;1;2;1:29.383;0;;24.379;0;28.439;0;36.565;0;120.9;3:29.391;15:40:29.391;0:24.379;0:28.439;0:36.565;;António Félix DA COSTA;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
