TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1739622001;15/02/2025 12:20:01;25,96;30,6;67,98;1008,8;11,16;19;-999;
1739622062;15/02/2025 12:21:02;25,95;30,7;68,04;1008,8;9,36;39;-999;
1739622123;15/02/2025 12:22:03;25,92;30,9;67,77;1008,7;8,28;30;-999;
1739622184;15/02/2025 12:23:04;25,93;30,9;67,91;1008,7;8,64;23;-999;
1739622245;15/02/2025 12:24:05;25,94;31;67,97;1008,9;7,56;43;-999;
1739622306;15/02/2025 12:25:06;25,95;31,2;67,56;1008,7;7,56;26;-999;
1739622367;15/02/2025 12:26:07;25,95;31,1;67,16;1008,8;6,12;30;-999;
1739622428;15/02/2025 12:27:08;25,97;31,2;67,99;1008,7;7,2;359;-999;
1739622489;15/02/2025 12:28:09;25,93;31,2;68,57;1008,8;8,28;22;-999;
1739622550;15/02/2025 12:29:10;25,9;31;67,87;1008,8;10,44;41;-999;
1739622611;15/02/2025 12:30:11;25,85;30,9;68,29;1008,6;9;34;-999;
1739622672;15/02/2025 12:31:12;25,85;30,9;68,81;1008,7;8,28;29;-999;
