POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;4;7;1:24.756;-;-;150.8;7;Envision Racing;;B;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;18;Robin;FRIJNS;;NED;NED;FRI;;;;;;
2;11;4;1:24.799;+0.043;+0.043;150.8;6;LOLA YAMAHA ABT Formula E Team;;B;;Lola T001;HANKOOK;;;;;;;;;;22;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
3;17;4;1:24.808;+0.052;+0.009;150.7;6;Nissan Formula E Team;;B;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;20;Norman;NATO;;FRA;FRA;NAT;;;;;;
4;21;5;1:24.832;+0.076;+0.024;150.7;6;MAHINDRA RACING;;B;;M11Electro;HANKOOK;;;;;;;;;;10;Nyck;DE VRIES;;NED;NED;DEV;;;;;;
5;1;4;1:24.859;+0.103;+0.027;150.6;7;TAG Heuer Porsche Formula E Team;;B;;Porsche 99X Electric;HANKOOK;;;;;;;;;;8;Pascal;WEHRLEIN;;GER;GER;WEH;;;;;;
6;5;7;1:24.879;+0.123;+0.020;150.6;7;NEOM McLaren Formula E Team;;B;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;2;Taylor;BARNARD;;GBR;GBR;BAR;;;;;;
7;37;7;1:25.073;+0.317;+0.194;150.3;7;Jaguar TCS Racing;;B;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;14;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
8;33;4;1:25.075;+0.319;+0.002;150.3;7;Cupra Kiro;;B;;Porsche 99X Electric WCG3;HANKOOK;;;;;;;;;;16;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
9;25;7;1:25.136;+0.380;+0.061;150.2;7;DS PENSKE;;B;;DS E-TENSE FE25;HANKOOK;;;;;;;;;;6;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
10;8;7;1:25.328;+0.572;+0.192;149.8;7;NEOM McLaren Formula E Team;;B;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;12;Sam;BIRD;;GBR;GBR;BIR;;;;;;
11;7;7;1:25.552;+0.796;+0.224;149.4;7;DS PENSKE;;B;;DS E-TENSE FE25;HANKOOK;;;;;;;;;;4;Maximilian;GÜNTHER;;GER;GER;GUE;;;;;;
