POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;1;Classified;26;1:04:19.723;-;-;25;1:25.821;149.0;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;8;Pascal;WEHRLEIN;;GER;GER;WEH;;;;;;
2;11;Classified;26;1:04:25.342;+5.619;+5.619;25;1:26.942;147.0;LOLA YAMAHA ABT Formula E Team;;;;Lola T001;HANKOOK;;;;;;;;;;22;Lucas;DI GRASSI;;BRA;BRA;DIG;;;;;;
3;13;Classified;26;1:04:25.807;+6.084;+0.465;26;1:28.770;144.0;TAG Heuer Porsche Formula E Team;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;3;António Félix;DA COSTA;;POR;POR;DAC;;;;;;
4;51;Classified;26;1:04:28.170;+8.447;+2.363;24;1:27.979;145.3;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;17;Nico;MÜLLER;;SUI;SUI;MUE;;;;;;
5;48;Classified;26;1:04:28.793;+9.070;+0.623;25;1:29.423;143.0;MAHINDRA RACING;;;;M11Electro;HANKOOK;;;;;;;;;;11;Edoardo;MORTARA;;SUI;SUI;MOR;;;;;;
6;17;Classified;26;1:04:29.604;+9.881;+0.811;25;1:25.981;148.7;Nissan Formula E Team;;;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;20;Norman;NATO;;FRA;FRA;NAT;;;;;;
7;33;Classified;26;1:04:29.756;+10.033;+0.152;24;1:27.387;146.3;Cupra Kiro;;;;Porsche 99X Electric WCG3;HANKOOK;;;;;;;;;;16;Dan;TICKTUM;;GBR;GBR;TIC;;;;;;
8;4;Classified;26;1:04:29.865;+10.142;+0.109;24;1:26.291;148.1;Envision Racing;;;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;18;Robin;FRIJNS;;NED;NED;FRI;;;;;;
9;27;Classified;26;1:04:30.052;+10.329;+0.187;24;1:27.445;146.2;Andretti Formula E;;;;Porsche 99X Electric;HANKOOK;;;;;;;;;;9;Jake;DENNIS;;GBR;GBR;DEN;;;;;;
10;23;Classified;26;1:04:30.648;+10.925;+0.596;26;1:26.444;147.9;Nissan Formula E Team;;;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;1;Oliver;ROWLAND;;GBR;GBR;ROW;;;;;;
11;21;Classified;26;1:04:31.047;+11.324;+0.399;24;1:27.337;146.4;MAHINDRA RACING;;;;M11Electro;HANKOOK;;;;;;;;;;10;Nyck;DE VRIES;;NED;NED;DEV;;;;;;
12;25;Classified;26;1:04:31.219;+11.496;+0.172;25;1:28.396;144.6;DS PENSKE;;;;DS E-TENSE FE25;HANKOOK;;;;;;;;;;6;Jean-Éric;VERGNE;;FRA;FRA;JEV;;;;;;
13;16;Classified;26;1:04:31.591;+11.868;+0.372;25;1:28.194;144.9;Envision Racing;;;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;15;Sébastien;BUEMI;;SUI;SUI;BUE;;;;;;
14;2;Classified;26;1:04:31.882;+12.159;+0.291;25;1:28.183;145.0;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;13;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;;;;
15;37;Classified;26;1:04:32.049;+12.326;+0.167;24;1:28.282;144.8;Jaguar TCS Racing;;;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;14;Nick;CASSIDY;;NZL;NZL;CAS;;;;;;
16;9;Classified;26;1:04:32.427;+12.704;+0.378;26;1:28.415;144.6;Jaguar TCS Racing;;;;Jaguar I-Type 7;HANKOOK;;;;;;;;;;7;Mitch;EVANS;;NZL;NZL;EVA;;;;;;
17;7;Classified;26;1:04:33.315;+13.592;+0.888;26;1:28.497;144.5;DS PENSKE;;;;DS E-TENSE FE25;HANKOOK;;;;;;;;;;4;Maximilian;GÜNTHER;;GER;GER;GUE;;;;;;
18;8;Classified;26;1:04:33.503;+13.780;+0.188;26;1:26.536;147.7;NEOM McLaren Formula E Team;;;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;12;Sam;BIRD;;GBR;GBR;BIR;;;;;;
19;22;Classified;26;1:04:35.522;+15.799;+2.019;24;1:27.321;146.4;LOLA YAMAHA ABT Formula E Team;;;;Lola T001;HANKOOK;;;;;;;;;;19;Zane;MALONEY;;BAR;BAR;MAL;;;;;;
20;5;Classified;26;1:04:37.452;+17.729;+1.930;24;1:27.043;146.9;NEOM McLaren Formula E Team;;;;NISSAN e-4ORCE 05;HANKOOK;;;;;;;;;;2;Taylor;BARNARD;;GBR;GBR;BAR;;;;;;
;3;Not classified;21;1:04:42.972;;;19;1:25.914;148.8;Cupra Kiro;;;;Porsche 99X Electric WCG3;HANKOOK;;;;;;;;;;21;David;BECKMANN;;GER;GER;BEC;;;;;;
;55;Not classified;19;30:47.309;;;19;1:30.367;141.5;Maserati MSG Racing;;;;Maserati Tipo Folgore;HANKOOK;;;;;;;;;;5;Jake;HUGHES;;GBR;GBR;HUG;;;;;;
