NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;ATTACK_MODE;
13;1;1;3:46.412;0;;2:35.173;0;43.555;0;27.684;0;56.1;3:46.412;09:43:46.412;2:35.173;0:43.555;0:27.684;;António Félix DA COSTA;0:01:58.780;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
13;1;2;1:40.662;0;;35.007;0;39.457;0;26.198;0;127.0;5:27.074;09:45:27.074;0:35.007;0:39.457;0:26.198;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
13;1;3;1:35.352;0;;31.408;0;37.161;0;26.783;0;134.1;7:02.426;09:47:02.426;0:31.408;0:37.161;0:26.783;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
13;1;4;1:24.796;3;;28.373;2;33.277;2;23.146;2;150.8;8:27.222;09:48:27.222;0:28.373;0:33.277;0:23.146;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
13;1;5;2:40.069;0;;44.735;0;1:16.675;0;38.659;0;79.9;11:07.291;09:51:07.291;0:44.735;1:16.675;0:38.659;;António Félix DA COSTA;;;A;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
16;1;1;3:38.917;0;;1:36.309;0;1:15.289;0;47.319;0;58.1;3:38.917;09:43:38.917;1:36.309;1:15.289;0:47.319;;Sébastien BUEMI;0:00:47.212;;A;Envision Racing;JAGUAR;;false;false;
16;1;2;2:02.637;0;;46.183;0;47.540;0;28.914;0;104.2;5:41.554;09:45:41.554;0:46.183;0:47.540;0:28.914;;Sébastien BUEMI;;;A;Envision Racing;JAGUAR;;false;false;
16;1;3;1:43.882;0;;33.999;0;40.332;0;29.551;0;123.1;7:25.436;09:47:25.436;0:33.999;0:40.332;0:29.551;;Sébastien BUEMI;;;A;Envision Racing;JAGUAR;;false;false;
16;1;4;1:24.989;2;;28.698;0;33.145;3;23.146;0;150.4;8:50.425;09:48:50.425;0:28.698;0:33.145;0:23.146;;Sébastien BUEMI;;;A;Envision Racing;JAGUAR;;false;false;
16;1;5;2:24.400;0;;48.213;0;1:01.769;0;34.418;0;88.5;11:14.825;09:51:14.825;0:48.213;1:01.769;0:34.418;;Sébastien BUEMI;;;A;Envision Racing;JAGUAR;;false;false;
