NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;ATTACK_MODE;
1;1;1;2:54.727;0;;1:39.435;0;46.004;0;29.288;0;72.8;2:54.727;09:59:54.727;1:39.435;0:46.004;0:29.288;;Pascal WEHRLEIN;0:01:01.582;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;2;1:46.055;0;;35.649;0;42.700;0;27.706;0;120.5;4:40.782;10:01:40.782;0:35.649;0:42.700;0:27.706;;Pascal WEHRLEIN;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;3;1:38.346;0;;31.785;0;37.807;0;28.754;0;130.0;6:19.128;10:03:19.128;0:31.785;0:37.807;0:28.754;;Pascal WEHRLEIN;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;4;1:24.859;2;;28.448;0;33.295;0;23.116;2;150.6;7:43.987;10:04:43.987;0:28.448;0:33.295;0:23.116;;Pascal WEHRLEIN;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;5;2:05.965;0;;47.705;0;49.863;0;28.397;0;101.5;9:49.952;10:06:49.952;0:47.705;0:49.863;0:28.397;;Pascal WEHRLEIN;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;6;2:01.536;0;;38.887;0;43.191;0;39.458;0;105.2;11:51.488;10:08:51.488;0:38.887;0:43.191;0:39.458;;Pascal WEHRLEIN;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;7;1:24.880;0;;28.425;2;33.129;3;23.326;0;150.6;13:16.368;10:10:16.368;0:28.425;0:33.129;0:23.326;;Pascal WEHRLEIN;;;B;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
11;1;1;3:14.602;0;;1:51.634;0;48.814;0;34.154;0;65.3;3:14.602;10:00:14.602;1:51.634;0:48.814;0:34.154;;Lucas DI GRASSI;0:01:15.309;;B;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
11;1;2;1:43.861;0;;37.661;0;38.731;0;27.469;0;123.1;4:58.463;10:01:58.463;0:37.661;0:38.731;0:27.469;;Lucas DI GRASSI;;;B;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
11;1;3;1:33.917;0;;31.625;0;36.411;0;25.881;0;136.1;6:32.380;10:03:32.380;0:31.625;0:36.411;0:25.881;;Lucas DI GRASSI;;;B;LOLA YAMAHA ABT Formula E Team;LOLA;;false;false;
