NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;ATTACK_MODE;
1;1;1;1:46.692;0;;39.122;0;41.672;0;25.898;0;119.1;1:46.692;14:06:48.326;0:39.122;0:41.672;0:25.898;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;2;1:37.309;0;;33.107;0;38.641;0;25.561;0;131.4;3:24.001;14:08:25.635;0:33.107;0:38.641;0:25.561;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;3;1:34.705;0;;31.451;0;37.973;0;25.281;0;135.0;4:58.706;14:10:00.340;0:31.451;0:37.973;0:25.281;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;4;1:36.860;0;;32.028;0;38.953;0;25.879;0;132.0;6:35.566;14:11:37.200;0:32.028;0:38.953;0:25.879;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;5;1:34.967;0;;32.404;0;37.269;0;25.294;0;134.6;8:10.533;14:13:12.167;0:32.404;0:37.269;0:25.294;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;6;1:33.223;0;;31.109;0;37.155;0;24.959;0;137.1;9:43.756;14:14:45.390;0:31.109;0:37.155;0:24.959;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;7;1:32.307;0;;30.801;0;36.437;0;25.069;0;138.5;11:16.063;14:16:17.697;0:30.801;0:36.437;0:25.069;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;8;1:34.549;0;;31.119;0;38.278;0;25.152;0;135.2;12:50.612;14:17:52.246;0:31.119;0:38.278;0:25.152;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;9;1:34.439;0;;31.666;0;37.765;0;25.008;0;135.4;14:25.051;14:19:26.685;0:31.666;0:37.765;0:25.008;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;10;1:33.373;0;;31.256;0;37.435;0;24.682;0;136.9;15:58.424;14:21:00.058;0:31.256;0:37.435;0:24.682;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;11;1:32.858;0;;30.877;0;36.857;0;25.124;0;137.7;17:31.282;14:22:32.916;0:30.877;0:36.857;0:25.124;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;12;1:33.234;0;;31.132;0;36.941;0;25.161;0;137.1;19:04.516;14:24:06.150;0:31.132;0:36.941;0:25.161;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;13;1:34.647;0;;30.667;0;38.660;0;25.320;0;135.1;20:39.163;14:25:40.797;0:30.667;0:38.660;0:25.320;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;false;
1;1;14;1:32.636;0;;30.295;0;37.365;0;24.976;0;138.0;22:11.799;14:27:13.433;0:30.295;0:37.365;0:24.976;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;true;
1;1;15;1:32.528;0;;31.492;0;36.008;0;25.028;0;138.2;23:44.327;14:28:45.961;0:31.492;0:36.008;0:25.028;;Pascal WEHRLEIN;;;;TAG Heuer Porsche Formula E Team;PORSCHE;;false;true;
