TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1744465215;12/04/2025 13:40:15;21,88;30,4;63,82;1016,4;6,48;128;-999;
1744465276;12/04/2025 13:41:16;21,88;30,5;64,17;1016,5;6,12;111;-999;
1744465337;12/04/2025 13:42:17;21,86;30,7;64;1016,5;6,12;142;-999;
1744465398;12/04/2025 13:43:18;21,86;30,8;64,1;1016,5;6,12;99;-999;
1744465459;12/04/2025 13:44:19;21,89;30,9;64,6;1016,5;5,4;131;-999;
1744465520;12/04/2025 13:45:20;21,92;31,1;64,64;1016,5;4,32;145;-999;
1744465581;12/04/2025 13:46:21;21,93;31,1;64,39;1016,5;7,92;183;-999;
1744465642;12/04/2025 13:47:22;22,01;31,3;64,32;1016,5;5,04;196;-999;
1744465703;12/04/2025 13:48:23;22,03;31,5;64,64;1016,5;10,08;78;-999;
1744465764;12/04/2025 13:49:24;22,05;31,6;64,65;1016,5;4,32;96;-999;
1744465825;12/04/2025 13:50:25;22;31,7;63,94;1016,5;10,8;91;-999;
1744465886;12/04/2025 13:51:26;21,94;31,8;64,28;1016,4;10,08;85;-999;
