TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1744466252;12/04/2025 13:57:32;22,04;32,5;63,91;1016,6;9;83;-999;
1744466313;12/04/2025 13:58:33;22,07;32,6;64,41;1016,7;6,48;89;-999;
1744466374;12/04/2025 13:59:34;22,15;32,7;64,12;1016,6;6,84;120;-999;
1744466435;12/04/2025 14:00:35;22,26;32,8;64,74;1016,6;10,44;97;-999;
1744466496;12/04/2025 14:01:36;22,42;33;64,47;1016,6;6,48;104;-999;
1744466557;12/04/2025 14:02:37;22,49;33,1;62,93;1016,7;6,84;156;-999;
1744466618;12/04/2025 14:03:38;22,56;33,2;63,01;1016,7;7,2;111;-999;
1744466679;12/04/2025 14:04:39;22,6;33,2;63,16;1016,7;7,56;129;-999;
1744466740;12/04/2025 14:05:40;22,64;33,4;63,39;1016,7;7,92;132;-999;
1744466801;12/04/2025 14:06:41;22,7;33,4;62,8;1016,7;1,8;183;-999;
1744466862;12/04/2025 14:07:42;22,75;33,5;62,5;1016,8;4,68;131;-999;
1744466923;12/04/2025 14:08:43;22,78;33,7;62,32;1016,8;10,08;105;-999;
