TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1744481138;12/04/2025 18:05:38;26,52;50,2;33,05;1015,6;10,44;263;-999;
1744481199;12/04/2025 18:06:39;26,52;50,3;33,13;1015,6;2,88;137;-999;
1744481260;12/04/2025 18:07:40;26,61;50,3;34,49;1015,6;7,2;97;-999;
1744481321;12/04/2025 18:08:41;26,66;50,3;35,27;1015,6;14,04;68;-999;
1744481382;12/04/2025 18:09:42;26,51;50,3;34,29;1015,6;10,08;77;-999;
1744481443;12/04/2025 18:10:43;26,36;50,4;32,81;1015,6;18;72;-999;
1744481504;12/04/2025 18:11:44;26,14;50,4;33,06;1015,6;5,76;34;-999;
1744481565;12/04/2025 18:12:45;26,05;50,3;33,96;1015,7;7,56;39;-999;
1744481626;12/04/2025 18:13:46;26,13;50,2;33,7;1015,6;2,88;103;-999;
1744481687;12/04/2025 18:14:47;26,2;50,2;33,53;1015,6;4,68;57;-999;
1744481748;12/04/2025 18:15:48;26,26;50,2;32,89;1015,5;0;126;-999;
1744481809;12/04/2025 18:16:49;26,33;50,1;32,61;1015,6;5,04;65;-999;
1744481870;12/04/2025 18:17:50;26,34;50,2;33,02;1015,5;6,48;102;-999;
1744481931;12/04/2025 18:18:51;26,3;50,3;33,97;1015,5;6,48;75;-999;
1744481992;12/04/2025 18:19:52;26,41;50,3;33,51;1015,4;4,32;260;-999;
1744482053;12/04/2025 18:20:53;26,58;50,4;33,2;1015,4;2,16;45;-999;
1744482114;12/04/2025 18:21:54;26,7;50,4;32,94;1015,4;3,24;334;-999;
1744482175;12/04/2025 18:22:55;26,78;50,4;32,53;1015,4;5,4;267;-999;
1744482236;12/04/2025 18:23:56;26,87;50,6;32,2;1015,3;4,32;297;-999;
1744482297;12/04/2025 18:24:57;26,96;50,6;32,49;1015,3;4,32;121;-999;
1744482358;12/04/2025 18:25:58;27,03;50,5;32,23;1015,4;1,8;243;-999;
1744482419;12/04/2025 18:26:59;27,03;50,5;32,32;1015,3;2,88;337;-999;
1744482480;12/04/2025 18:28:00;27,06;50,3;32,57;1015,3;3,96;258;-999;
1744482541;12/04/2025 18:29:01;27,13;50,2;32,56;1015,3;6,84;263;-999;
1744482602;12/04/2025 18:30:02;27,16;50,1;32,64;1015,1;3,24;189;-999;
1744482663;12/04/2025 18:31:03;27,17;50,2;33,02;1015,2;10,8;278;-999;
1744482724;12/04/2025 18:32:04;27,21;50,2;33,97;1015,1;9,72;111;-999;
1744482785;12/04/2025 18:33:05;27,3;50,2;33,68;1015,3;3,6;91;-999;
1744482846;12/04/2025 18:34:06;27,29;50,4;32,69;1015,3;5,76;136;-999;
1744482907;12/04/2025 18:35:07;27,27;50,5;32,23;1015,3;8,28;108;-999;
1744482968;12/04/2025 18:36:08;27,22;50,5;31,86;1015,3;4,68;268;-999;
1744483029;12/04/2025 18:37:09;27,19;50,5;32,01;1015,2;3,6;35;-999;
1744483090;12/04/2025 18:38:10;27,1;50,5;32,24;1015,2;7,56;270;-999;
1744483151;12/04/2025 18:39:11;27,09;50,5;32,49;1015,3;6,12;325;-999;
1744483212;12/04/2025 18:40:12;27,09;50,4;32,22;1015,2;10,08;252;-999;
1744483273;12/04/2025 18:41:13;27;50,1;32,19;1015,1;3,6;294;-999;
1744483334;12/04/2025 18:42:14;26,91;50;32,43;1015,1;5,76;237;-999;
1744483395;12/04/2025 18:43:15;26,86;49,9;32,36;1015,1;3,24;137;-999;
1744483456;12/04/2025 18:44:16;26,77;50,1;33,21;1015;5,4;53;-999;
1744483517;12/04/2025 18:45:17;26,73;50,1;32,94;1015;7,56;96;-999;
1744483578;12/04/2025 18:46:18;26,66;50,2;32,77;1015,2;13,32;62;-999;
1744483639;12/04/2025 18:47:19;26,58;50,3;33,44;1015;11,52;92;-999;
1744483700;12/04/2025 18:48:20;26,54;50,3;33,48;1015;11,88;86;-999;
1744483761;12/04/2025 18:49:21;26,51;50,4;33,31;1015;4,68;218;-999;
1744483822;12/04/2025 18:50:22;26,53;50,5;32,63;1014,9;5,4;152;-999;
