Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
3;David BECKMANN;Cupra Kiro;1;T12;6;14:14:24.125;2;no;no
3;David BECKMANN;Cupra Kiro;2;T12;12;14:23:46.728;2;no;no
5;Taylor BARNARD;NEOM McLaren Formula E Team;1;T12;3;14:09:39.732;2;no;no
5;Taylor BARNARD;NEOM McLaren Formula E Team;2;T10;16;14:29:56.470;2;no;no
22;Zane MALONEY;LOLA YAMAHA ABT Formula E Team;1;T10;25;15:07:34.938;1;no;no
25;Jean-Éric VERGNE;DS PENSKE;1;T12;9;14:19:14.033;1;no;no
37;Nick CASSIDY;Jaguar TCS Racing;1;T12;6;14:14:25.190;3;no;no
37;Nick CASSIDY;Jaguar TCS Racing;2;T12;12;14:23:45.595;3;no;no
37;Nick CASSIDY;Jaguar TCS Racing;3;T12;15;14:28:29.322;3;no;no
48;Edoardo MORTARA;MAHINDRA RACING;1;T12;23;15:04:39.972;1;no;no
